evaluation_point	f_codon	anchoring	C_tot_uM	K_d_uM	c_free_uM	folding_arm_saturation	P_star	P_dagger	headroom_P	headroom_A	margin_log10	collapsed
window_bottom	0.0001	as_published	50.0	1.0	47.527998958218966	0.9793933394850884	0.0001733715631463	0.0274023692830227	158.05573178050503	11091.0320262876	2.198810249846641	False
window_bottom	0.0001	weaker_binding	50.0	10.0	49.69748927672273	0.832488767598821	0.0002029014125796	0.0274023692830227	135.05262942546204	8097.960175096197	2.1305030441610264	False
window_bottom	0.0001	smaller_pool	5.0	1.0	4.710708552071041	0.824890380785176	0.0002047048370262	0.0214321136621268	104.69764160667388	7955.926543425173	2.019936898978332	False
window_bottom	0.0001	near_capacity	2.0	1.0	1.8566429316127435	0.6499387484051284	0.0002573768420883	0.0158188192276664	61.46170377766466	5033.240153113899	1.788604595148835	False
window_bottom	0.0001	c_free_at_Kd	1.0	1.0	0.905880860749385	0.475308231173063	0.0003463264075467	0.0137567621337772	39.72195545590655	2780.3709082176792	1.5990306200551143	False
window_bottom	0.0001	Kd_at_C_tot	50.0	50.0	49.90104622552996	0.4995047410502255	0.000330499999348	0.0274023692830227	82.91185881111733	3052.907199048705	1.9186166517553056	False
usage_weighted_mu	0.0006334247974475	as_published	50.0	1.0	37.558701150173626	0.9740655164678572	0.0011041648112449	0.0274023692830227	24.817281807890478	274.6521619913062	1.394754212276315	False
usage_weighted_mu	0.0006334247974475	weaker_binding	50.0	10.0	48.13386748897635	0.8279832319448511	0.0012923211925234	0.0274023692830227	21.203992816611343	200.8318242784105	1.326417648426178	False
usage_weighted_mu	0.0006334247974475	smaller_pool	5.0	1.0	3.544291846397853	0.779943710967271	0.0013690634751025	0.0214321136621268	15.654579975206138	179.08220652024184	1.1946414196439352	False
usage_weighted_mu	0.0006334247974475	near_capacity	2.0	1.0	1.2795829134605183	0.5613232604547157	0.0018766976826617	0.0158188192276664	8.429071647400482	95.87726408313736	0.9257797453705496	False
usage_weighted_mu	0.0006334247974475	c_free_at_Kd	1.0	1.0	0.5292350015174735	0.3460782685410083	0.0029650659104348	0.0137567621337772	4.639614278172809	39.126212552809854	0.6664818762824029	False
usage_weighted_mu	0.0006334247974475	Kd_at_C_tot	50.0	50.0	49.37561289820896	0.4968584490521301	0.0021076096246078	0.0274023692830227	13.001634156098454	76.27080716750157	1.1139979415663273	False
unweighted_mean_mu	0.0011369215542622	as_published	50.0	1.0	31.29006021673001	0.9690307174007102	0.0019931718095859	0.0274023692830227	13.74812203907052	85.13718936193494	1.1382433786193675	False
unweighted_mean_mu	0.0011369215542622	weaker_binding	50.0	10.0	46.72810706374369	0.8237205414105693	0.002333993494032	0.0274023692830227	11.740550842618	62.41531808655561	1.0696884735979044	False
unweighted_mean_mu	0.0011369215542622	smaller_pool	5.0	1.0	2.809932392645326	0.7375281509114454	0.0025980074741144	0.0214321136621268	8.24944265005703	50.60519720317833	0.9164246076794548	False
unweighted_mean_mu	0.0011369215542622	near_capacity	2.0	1.0	0.914144093836862	0.4775732907361635	0.0039594629682707	0.0158188192276664	3.9951931245300143	22.44616192835931	0.6015377776150908	False
unweighted_mean_mu	0.0011369215542622	c_free_at_Kd	1.0	1.0	0.2578149100590988	0.2049704674330703	0.0095958387326625	0.0137567621337772	1.433617479100774	4.603082431791806	0.1564332874008752	False
unweighted_mean_mu	0.0011369215542622	Kd_at_C_tot	50.0	50.0	48.877154646644186	0.4943220182793057	0.0038288008698316	0.0274023692830227	7.156906356487392	23.925985226416014	0.8547253347873873	False
window_top	0.001	as_published	50.0	1.0	32.78508822843688	0.9704011428580998	0.001750278627854	0.0274023692830227	15.656004048120694	110.04484715921254	1.194680924944033	False
window_top	0.001	weaker_binding	50.0	10.0	47.10426635363427	0.8248817358396274	0.0020491658686328	0.0274023692830227	13.372450567559492	80.61336691021245	1.1262110011622448	False
window_top	0.001	smaller_pool	5.0	1.0	2.985331735106039	0.749079859226978	0.0022495191418789	0.0214321136621268	9.52741999973598	67.09891328460192	0.9789753107562928	False
window_top	0.001	near_capacity	2.0	1.0	1.0022399707926193	0.5005593662161615	0.0033184335697511	0.0158188192276664	4.766953713300602	31.47225436832447	0.6782409349864654	False
window_top	0.001	c_free_at_Kd	1.0	1.0	0.3386613523466487	0.2529850822636969	0.006509340801864	0.0137567621337772	2.113387907088488	8.963942681256123	0.3249792180396899	False
window_top	0.001	Kd_at_C_tot	50.0	50.0	49.0135812233715	0.4950187703321064	0.0033542362205455	0.0274023692830227	8.169481062537086	30.828549245884982	0.9121944703837722	False
