error_factor	capacity_factor	margin_baseline	D_error	D_capacity	D_both	interaction	interaction_pct_of_additive	collapsed_both	qualitative_supraadditive
1.5	1.5	2.198810249846641	0.1763067705322081	0.1698883489160771	0.3462955917472887	0.0001004722990034	0.0290218704306314	False	False
1.5	2.0	2.198810249846641	0.1763067705322081	0.2887071691076039	0.4652125190014509	0.0001985793616388	0.0427039588947851	False	False
1.5	3.0	2.198810249846641	0.1763067705322081	0.4528031015177773	0.6295062082057301	0.0003963361557446	0.062999513018792	False	False
1.5	5.0	2.198810249846641	0.1763067705322081	0.651610779700412	0.8287693452861435	0.0008517950535233	0.1028840436205353	False	False
1.5	10.0	2.198810249846641	0.1763067705322081	0.9001462747323836	1.0791036556904994	0.0026506104259076	0.2462355824592536	False	False
1.5	20.0	2.198810249846641	0.1763067705322081	1.1135615473524672	1.2980385690267098	0.0081702511420345	0.6334174604298638	False	False
2.0	1.5	2.198810249846641	0.3014616824723501	0.1698883489160771	0.471553172915014	0.0002031415265866	0.0430978069500162	False	False
2.0	2.0	2.198810249846641	0.3014616824723501	0.2887071691076039	0.5905734385382124	0.0004045869582582	0.0685544411866471	False	False
2.0	3.0	2.198810249846641	0.3014616824723501	0.4528031015177773	0.7550905178863763	0.0008257338962487	0.1094753346272553	False	False
2.0	5.0	2.198810249846641	0.3014616824723501	0.651610779700412	0.9549520172684408	0.0018795550956784	0.1972100936998632	False	False
2.0	10.0	2.198810249846641	0.3014616824723501	0.9001462747323836	1.2080061724833806	0.0063982152786468	0.532471114250175	False	False
2.0	20.0	2.198810249846641	0.3014616824723501	1.1135615473524672	1.4354094310147627	0.0203862011899453	1.440697280458727	False	False
3.0	1.5	2.198810249846641	0.4779880309001709	0.1698883489160771	0.6482941398191817	0.0004177600029335	0.0644814375007887	False	False
3.0	2.0	2.198810249846641	0.4779880309001709	0.2887071691076039	0.767543045956341	0.0008478459485661	0.1105844863196652	False	False
3.0	3.0	2.198810249846641	0.4779880309001709	0.4528031015177773	0.9326118484525804	0.0018207160346319	0.1956095165950095	False	False
3.0	5.0	2.198810249846641	0.4779880309001709	0.651610779700412	1.1342189858472924	0.0046201752467094	0.4090102789903779	False	False
3.0	10.0	2.198810249846641	0.4779880309001709	0.9001462747323836	1.3959118835675373	0.0177775779349826	1.2899742690044205	False	False
3.0	20.0	2.198810249846641	0.4779880309001709	1.1135615473524672	1.6508331387790556	0.0592835605264174	3.724895619745938	False	False
5.0	1.5	2.198810249846641	0.7007230859201485	0.1698883489160771	0.8715135705231392	0.0009021356869134	0.1036209324637627	False	False
5.0	2.0	2.198810249846641	0.7007230859201485	0.2887071691076039	0.991347706437468	0.0019174514097155	0.1937934887246571	False	False
5.0	3.0	2.198810249846641	0.7007230859201485	0.4528031015177773	1.1581031287492063	0.0045769413112806	0.3967782752679735	False	False
5.0	5.0	2.198810249846641	0.7007230859201485	0.651610779700412	1.3659896259821798	0.0136557603616191	1.0097920867605297	False	False
5.0	10.0	2.198810249846641	0.7007230859201485	0.9001462747323836	1.660625648118621	0.0597562874660888	3.732739780948242	False	False
5.0	20.0	2.198810249846641	0.7007230859201485	1.1135615473524672	2.050344208716956	0.2360595754443404	13.011165454151202	False	False
10.0	1.5	2.198810249846641	1.0041293249026078	0.1698883489160771	1.176665508860402	0.0026478350417171	0.2255362164271901	False	False
10.0	2.0	2.198810249846641	1.0041293249026078	0.2887071691076039	1.2991371479454072	0.0063006539351955	0.4873511820239315	False	False
10.0	3.0	2.198810249846641	1.0041293249026078	0.4528031015177773	1.4750117234447595	0.0180792970243746	1.2409152748967631	False	False
10.0	5.0	2.198810249846641	1.0041293249026078	0.651610779700412	1.720730176390116	0.0649900717870961	3.925137260758576	False	False
10.0	10.0	2.198810249846641	1.0041293249026078	0.9001462747323836	inf			True	True
10.0	20.0	2.198810249846641	1.0041293249026078	1.1135615473524672	inf			True	True
20.0	1.5	2.198810249846641	1.3111309842360843	0.1698883489160771	1.490856783202306	0.0098374500501445	0.6642350866012544	False	False
20.0	2.0	2.198810249846641	1.3111309842360843	0.2887071691076039	1.62608487331176	0.0262467199680715	1.6405859500984843	False	False
20.0	3.0	2.198810249846641	1.3111309842360843	0.4528031015177773	1.851669030961304	0.0877349452074425	4.973822203222904	False	False
20.0	5.0	2.198810249846641	1.3111309842360843	0.651610779700412	inf			True	True
20.0	10.0	2.198810249846641	1.3111309842360843	0.9001462747323836	inf			True	True
20.0	20.0	2.198810249846641	1.3111309842360843	1.1135615473524672	inf			True	True
