axis	s	delta	null_mean	null_sd	z	p	reject	delta_reduction_pct	pct_below_null
nu	1.0	0.2283228395061728	0.2294646172839506	0.0218712381632471	-0.0522045331524228	0.4542728635682159	False	0.0	0.4975833709320328
nu	0.95	0.2169066975308642	0.2226958785704731	0.0212848338632075	-0.2719861980983562	0.3698150924537731	False	4.999999999999983	2.5995905612491814
nu	0.9	0.2054905555555555	0.2161505966471192	0.0207432857424976	-0.5139032081944491	0.2918540729635182	False	9.99999999999999	4.931765748936128
nu	0.85	0.1940744135802469	0.2096357396851851	0.020273390248933	-0.7675739436701844	0.2273863068465767	False	14.999999999999998	7.423031076813055
nu	0.8	0.1826582716049382	0.2031502148991769	0.0198789825668371	-1.0308346126538706	0.1574212893553223	False	19.999999999999996	10.0870891544017
nu	0.75	0.1712421296296296	0.1967712670807612	0.0195406610453708	-1.3064623244759437	0.1064467766116941	False	25.00000000000001	12.97401690291179
nu	0.7	0.1598259876543209	0.1905507020030863	0.0192499493394261	-1.596093257546268	0.0704647676161919	False	30.000000000000007	16.124167492317987
nu	0.65	0.1484098456790123	0.1845324679362139	0.0190017388166799	-1.9010166704055904	0.0369815092453773	True	35.000000000000014	19.575212243781337
nu	0.6	0.1369937037037036	0.1786681534156378	0.0188129177191165	-2.215203953695445	0.015992003998001	True	40.00000000000004	23.325057608328454
nu	0.55	0.125577561728395	0.1731859441975307	0.0185554266315408	-2.56573903766838	0.0074962518740629	True	45.00000000000003	27.489749638593693
nu	0.5	0.1141614197530863	0.1679505672839505	0.0183058267644741	-2.938362097649253	0.0029985007496251	True	50.00000000000003	32.0267733540453
nu	0.45	0.1027452777777777	0.1628024638477365	0.0181478017273679	-3.309336688387395	0.0019990004997501	True	55.00000000000004	36.88960513897887
nu	0.4	0.091329135802469	0.1577941121728394	0.0180782144902349	-3.676523276470244	0.0004997501249375	True	60.00000000000005	42.12132851799194
nu	0.35	0.0799129938271603	0.1530363525082303	0.0180130494584931	-4.059465825015667	0.0004997501249375	True	65.00000000000004	47.78169205067624
nu	0.3	0.0684968518518517	0.1486755135514402	0.0179920327084735	-4.456342593342868	0.0004997501249375	True	70.00000000000006	53.92862602882316
nu	0.25	0.057080709876543	0.1446566349228394	0.0180037559174793	-4.864314171315284	0.0004997501249375	True	75.00000000000006	60.540551833664445
nu	0.2	0.0456645679012344	0.1410044539588476	0.0179905115308184	-5.299453875688441	0.0004997501249375	True	80.00000000000007	67.6148046255605
nu	0.15	0.0342484259259257	0.1376038870997941	0.0180458826647116	-5.7273707855797005	0.0004997501249375	True	85.00000000000009	75.11085867720594
nu	0.1	0.0228322839506171	0.1345466099691357	0.0181715967048801	-6.147744077355438	0.0004997501249375	True	90.00000000000009	83.03020495584786
nu	0.05	0.0114161419753084	0.1318986270967077	0.0183568692067253	-6.563346056704403	0.0004997501249375	True	95.00000000000009	91.34476057363496
nu	-0.0	2.1217595581725215e-16	0.1295630663786008	0.01861214125928	-6.9612122846961455	0.0004997501249375	True	99.9999999999999	99.99999999999984
mu	1.0	0.8409976287655928	1.3434968341501337	0.141888121843207	-3.541517068918748	0.000999500249875	True	0.0	37.40233639645386
mu	0.95	0.7989477473273134	1.3183447621244708	0.140791313161804	-3.689126858275991	0.000999500249875	True	4.999999999999967	39.39766210776045
mu	0.9	0.7568978658890335	1.294197970192278	0.1397318396252778	-3.8452231484544592	0.0004997501249375	True	10.000000000000002	41.51606760930233
mu	0.85	0.714847984450754	1.2709137516293825	0.1387348075703661	-4.008120073951827	0.0004997501249375	True	14.999999999999982	43.75322609152045
mu	0.8	0.672798103012474	1.2482280499261005	0.1378117698497529	-4.17547751938009	0.0004997501249375	True	20.00000000000003	46.099744910210426
mu	0.75	0.6307482215741944	1.2264170441346152	0.1369737434623564	-4.3487810693012445	0.0004997501249375	True	25.00000000000002	48.56984216007344
mu	0.7	0.5886983401359147	1.2058737205476746	0.1361886835627619	-4.531766988755253	0.0004997501249375	True	30.000000000000032	51.180763781091095
mu	0.65	0.5466484586976351	1.1866186104627412	0.13548600790426	-4.723514713174922	0.0004997501249375	True	35.00000000000002	53.932253052692246
mu	0.6	0.5045985772593556	1.1683378972930796	0.1348583266958567	-4.921752599901688	0.0004997501249375	True	40.00000000000001	56.81056153117523
mu	0.55	0.462548695821076	1.1509269137907014	0.13438432150672	-5.122459303671093	0.0004997501249375	True	45.00000000000001	59.81076727994637
mu	0.5	0.4204988143827958	1.1345045391014168	0.1340604801516811	-5.325997071700532	0.0004997501249375	True	50.00000000000007	62.93546655037171
mu	0.45	0.3784489329445162	1.1194942335320937	0.1337682919789891	-5.539767979574508	0.0004997501249375	True	55.00000000000006	66.19465097640747
mu	0.4	0.3363990515062365	1.1055231998506645	0.1334479207485508	-5.763477947278399	0.0004997501249375	True	60.000000000000064	69.57105454216811
mu	0.35	0.2943491700679569	1.0923477995832596	0.1332766102697452	-5.987536957161448	0.0004997501249375	True	65.00000000000007	73.05353018697399
mu	0.3	0.2522992886296774	1.0796218279048155	0.1332607152729765	-6.208300305010504	0.0004997501249375	True	70.00000000000004	76.63077180281675
mu	0.25	0.2102494071913976	1.0673842866559613	0.1334011076734615	-6.42524559513144	0.0004997501249375	True	75.00000000000006	80.30237002550469
mu	0.2	0.1681995257531178	1.0556452552888742	0.133644107836769	-6.640365549221741	0.0004997501249375	True	80.00000000000009	84.06666208080568
