f_base	margin_baseline	error_factor	capacity_factor	D_error	D_capacity	additive_expectation	D_both	interaction	interaction_pct_of_additive	collapsed_both	qualitative_supraadditive
0.0001	2.198810249846641	3.0	3.0	0.4779880309001709	0.4528031015177773	0.9307911324179482	0.9326118484525804	0.0018207160346319	0.1956095165950095	False	False
0.0002	1.897348567374291	3.0	3.0	0.4788967714081291	0.4536288354140261	0.9325256068221552	0.9381434288384044	0.0056178220162491	0.6024308582145514	False	False
0.0006334247974475	1.394754212276315	3.0	3.0	0.4841703293512047	0.4599541095751408	0.9441244389263455	1.0143294638462632	0.0702050249199176	7.435992759572511	False	False
0.001	1.194680924944033	3.0	3.0	0.4914803398064814	0.4708823985421519	0.9623627383486333	inf			True	True
0.002	0.8876792656105568	3.0	3.0	0.5305105665127536	0.5405380467252199	1.0710486132379735	inf			True	True
0.005	0.4550700512836946	3.0	3.0							True	False
