error_factor	capacity_factor	qualitative_supraadditive	collapsed_both	collapsed_error_only	collapsed_capacity_only	interaction
1.5	1.5	False	False	False	False	0.00010047229900345123
1.5	1.8242687073822879	False	False	False	False	0.00016423412140409432
1.5	2.2186375444894955	False	False	False	False	0.00024128534992429174
1.5	2.6982606969571097	False	False	False	False	0.00033572546237725653
1.5	3.2815683692122515	False	False	False	False	0.00045419452177752895
1.5	3.9909749913929575	False	False	False	False	0.0006076940965633604
1.5	4.853740525828978	False	False	False	False	0.0008142273950766388
1.5	5.90301797001537	False	False	False	False	0.001102036401818829
1.5	7.179127307876238	False	False	False	False	0.0015125845665640014
1.5	8.731104862714846	False	False	False	False	0.002101750935608049
1.5	10.618587587949342	False	False	False	False	0.0029375603205930023
1.5	12.914104702195969	False	False	False	False	0.004093749535674984
1.5	15.705864728049711	False	False	False	False	0.00564025757328479
1.5	19.101145030506867	False	False	False	False	0.00763308929108919
1.5	23.23041410288293	False	False	False	False	0.01010586602982344
1.5	28.252345004947657	False	False	False	False	0.013064173691021086
1.5	34.35991260179622	False	False	False	False	0.016482834715652928
1.5	41.787808898564755	False	False	False	False	0.020306092821438027
1.5	50.82146141581522	False	False	False	False	0.024450924917897243
1.5	61.80800114953867	False	False	False	False	0.028813567464677003
1.5	75.16960157530129	False	False	False	False	0.03327869897581692
1.5	91.41970126681093	False	False	False	False	0.03772993575681949
1.5	111.18273350618666	False	False	False	False	0.042059857800603506
1.5	135.21812102437377	False	False	False	False	0.04617792668115239
1.5	164.44945790386396	False	False	False	False	0.05001529173230779
1.5	200.0	False	False	False	False	0.053526300512560354
1.8242687073822879	1.5	False	False	False	False	0.00016676417265815147
1.8242687073822879	1.8242687073822879	False	False	False	False	0.0002733979844145029
1.8242687073822879	2.2186375444894955	False	False	False	False	0.0004034715266183486
1.8242687073822879	2.6982606969571097	False	False	False	False	0.0005651764669645232
1.8242687073822879	3.2815683692122515	False	False	False	False	0.0007720490750200426
1.8242687073822879	3.9909749913929575	False	False	False	False	0.0010466503634511959
1.8242687073822879	4.853740525828978	False	False	False	False	0.0014257031497733053
1.8242687073822879	5.90301797001537	False	False	False	False	0.0019660535708534432
1.8242687073822879	7.179127307876238	False	False	False	False	0.002749643618954245
1.8242687073822879	8.731104862714846	False	False	False	False	0.0038846714898010948
1.8242687073822879	10.618587587949342	False	False	False	False	0.0055003906376496214
1.8242687073822879	12.914104702195969	False	False	False	False	0.0077351699828711595
1.8242687073822879	15.705864728049711	False	False	False	False	0.010720365162839585
1.8242687073822879	19.101145030506867	False	False	False	False	0.01456396601051857
1.8242687073822879	23.23041410288293	False	False	False	False	0.019336894514635494
1.8242687073822879	28.252345004947657	False	False	False	False	0.02506277785397848
1.8242687073822879	34.35991260179622	False	False	False	False	0.03171111625460066
1.8242687073822879	41.787808898564755	False	False	False	False	0.03919436402992682
1.8242687073822879	50.82146141581522	False	False	False	False	0.047370270112672364
1.8242687073822879	61.80800114953867	False	False	False	False	0.05605065415980914
