f_base	error_factor	capacity_factor	capacity_knob	margin_baseline	margin_error_only	margin_capacity_only	margin_both	collapsed_error_only	collapsed_capacity_only	collapsed_both	binding_pool_baseline	qualitative_supraadditive	D_error	D_capacity	D_both	interaction	interaction_pct_of_additive	evaluation_point
0.0001	3.0	3.0	k_obs_max	2.198810249846641	1.7208222189464701	1.7460071483288637	1.2661984013940608	False	False	False	P	False	0.47798803090017095	0.45280310151777736	0.9326118484525803	0.001820716034631964	0.19560951659500955	window_bottom
0.0002	3.0	3.0	k_obs_max	1.897348567374291	1.4184517959661618	1.4437197319602648	0.9592051385358865	False	False	False	P	False	0.47889677140812914	0.4536288354140261	0.9381434288384044	0.005617822016249163	0.6024308582145514	
0.0006334247974475959	3.0	3.0	k_obs_max	1.394754212276315	0.9105838829251103	0.9348001027011742	0.38042474843005175	False	False	False	P	False	0.48417032935120474	0.4599541095751408	1.0143294638462632	0.07020502491991765	7.435992759572511	usage_weighted_mu
0.001	3.0	3.0	k_obs_max	1.1946809249440333	0.7032005851375519	0.7237985264018814		False	False	True	P	True	0.4914803398064814	0.47088239854215197	inf			
0.002	3.0	3.0	k_obs_max	0.8876792656105568	0.3571686990978032	0.34714121888533694		False	False	True	P	True	0.5305105665127536	0.5405380467252199	inf			
0.005	3.0	3.0	k_obs_max	0.4550700512836946				True	True	True	P	False						
