f_base	error_factor	capacity_factor	margin_baseline	margin_error_only	margin_capacity_only	margin_both	collapsed_error_only	collapsed_capacity_only	collapsed_both	binding_pool_baseline	qualitative_supraadditive	D_error	D_capacity	D_both	interaction	interaction_pct_of_additive
0.0001	1.5	1.5	2.198810249846641	2.022503479314433	2.1944850483257023	2.018070795726651	False	False	False	P	False	0.1763067705322081	0.004325201520938737	0.18073945411999004	0.00010748206684318973	0.059503345737467545
0.0001	1.5	2.0	2.198810249846641	2.022503479314433	2.190200898848699	2.0136791644887158	False	False	False	P	False	0.1763067705322081	0.008609350997942133	0.18513108535792533	0.00021496382777508316	0.11624937079379187
0.0001	1.5	3.0	2.198810249846641	2.022503479314433	2.181752644758866	2.005015948948575	False	False	False	P	False	0.1763067705322081	0.017057605087774874	0.19379430089806604	0.00042992527808305425	0.22233944422522894
0.0001	1.5	5.0	2.198810249846641	2.022503479314433	2.1653157390950635	1.9881491367640902	False	False	False	P	False	0.1763067705322081	0.03349451075157761	0.21066111308255087	0.0008598317987651427	0.40983152891335267
0.0001	1.5	10.0	2.198810249846641	2.022503479314433	2.0199368989783317	1.8416957343020874	False	False	False	P	False	0.1763067705322081	0.17887335086830936	0.35711451554455365	0.0019343941440361778	0.5446234255477563
0.0001	1.5	20.0	2.198810249846641	2.022503479314433	1.8470493684770302	1.6666609485975727	False	False	False	P	False	0.1763067705322081	0.3517608813696109	0.5321493012490683	0.004081649347249305	0.7729406133000902
0.0001	2.0	1.5	2.198810249846641	1.897348567374291	2.1944850483257023	1.8928082510101139	False	False	False	P	False	0.30146168247235017	0.004325201520938737	0.30600199883652723	0.00021511484323832875	0.07034796274749634
0.0001	2.0	2.0	2.198810249846641	1.897348567374291	2.190200898848699	1.8883089365914432	False	False	False	P	False	0.30146168247235017	0.008609350997942133	0.3105013132551979	0.00043027978490561836	0.13876813325319637
0.0001	2.0	3.0	2.198810249846641	1.897348567374291	2.181752644758866	1.879430204845064	False	False	False	P	False	0.30146168247235017	0.017057605087774874	0.31938004500157713	0.0008607574414520869	0.27023714891664347
0.0001	2.0	5.0	2.198810249846641	1.897348567374291	2.1653157390950635	1.8621317705041824	False	False	False	P	False	0.30146168247235017	0.03349451075157761	0.33667847934245865	0.001722286118530869	0.5141824971062624
0.0001	2.0	10.0	2.198810249846641	1.897348567374291	2.0199368989783317	1.714596002795251	False	False	False	P	False	0.30146168247235017	0.17887335086830936	0.48421424705139016	0.0038792137107306335	0.807605825407169
0.0001	2.0	20.0	2.198810249846641	1.897348567374291	1.8470493684770302	1.5373835206865565	False	False	False	P	False	0.30146168247235017	0.3517608813696109	0.6614267291600846	0.008204165318123513	1.255952530156078
0.0001	3.0	1.5	2.198810249846641	1.7208222189464701	2.1944850483257023	1.7160661415355305	False	False	False	P	False	0.47798803090017095	0.004325201520938737	0.4827441083111106	0.00043087589000090354	0.08933528276593167
0.0001	3.0	2.0	2.198810249846641	1.7208222189464701	2.190200898848699	1.711350810340882	False	False	False	P	False	0.47798803090017095	0.008609350997942133	0.487459439505759	0.0008620576076459052	0.1771603464620384
0.0001	3.0	3.0	2.198810249846641	1.7208222189464701	2.181752644758866	1.702039279915588	False	False	False	P	False	0.47798803090017095	0.017057605087774874	0.4967709699310532	0.0017253339431073655	0.3485201802989688
0.0001	3.0	5.0	2.198810249846641	1.7208222189464701	2.1653157390950635	1.6838722022330739	False	False	False	P	False	0.47798803090017095	0.03349451075157761	0.5149380476135672	0.00345550596181865	0.675586296779488
0.0001	3.0	10.0	2.198810249846641	1.7208222189464701	2.0199368989783317	1.53414725935129	False	False	False	P	False	0.47798803090017095	0.17887335086830936	0.6646629904953512	0.007801608726870857	1.1877100623371157
0.0001	3.0	20.0	2.198810249846641	1.7208222189464701	1.8470493684770302	1.3524830912671801	False	False	False	P	False	0.47798803090017095	0.3517608813696109	0.846327158579461	0.01657824630967908	1.997983494106574
0.0001	5.0	1.5	2.198810249846641	1.4980871639264925	2.1944850483257023	1.4928972317564488	False	False	False	P	False	0.7007230859201485	0.004325201520938737	0.7059130180901922	0.0008647306491049722	0.12264842912298085
0.0001	5.0	2.0	2.198810249846641	1.4980871639264925	2.190200898848699	1.4877468896285753	False	False	False	P	False	0.7007230859201485	0.008609350997942133	0.7110633602180658	0.0017309232999751512	0.2440214502942613
0.0001	5.0	3.0	2.198810249846641	1.4980871639264925	2.181752644758866	1.4775618592271471	False	False	False	P	False	0.7007230859201485	0.017057605087774874	0.721248390619494	0.0034676996115705627	0.48311408415029145
0.0001	5.0	5.0	2.198810249846641	1.4980871639264925	2.1653157390950635	1.4576338013460373	False	False	False	P	False	0.7007230859201485	0.03349451075157761	0.7411764485006038	0.006958851828877677	0.9477914804034625
