axis	s	delta	z	p	reject	delta_reduction_pct
nu	1.0	0.22832283950617283	-0.05220453315242285	0.4542728635682159	False	0.0
nu	0.95	0.21690669753086422	-0.2719861980983562	0.3698150924537731	False	4.999999999999983
nu	0.9	0.20549055555555557	-0.5139032081944491	0.29185407296351823	False	9.99999999999999
nu	0.85	0.1940744135802469	-0.7675739436701844	0.2273863068465767	False	14.999999999999998
nu	0.8	0.18265827160493828	-1.0308346126538706	0.15742128935532235	False	19.999999999999993
nu	0.75	0.1712421296296296	-1.3064623244759437	0.10644677661169415	False	25.000000000000014
nu	0.7	0.15982598765432096	-1.596093257546268	0.0704647676161919	False	30.000000000000007
nu	0.65	0.1484098456790123	-1.9010166704055904	0.03698150924537731	True	35.000000000000014
nu	0.6	0.13699370370370362	-2.215203953695445	0.015992003998001	True	40.000000000000036
nu	0.55	0.125577561728395	-2.5657390376683797	0.0074962518740629685	True	45.00000000000003
nu	0.5	0.11416141975308634	-2.938362097649253	0.0029985007496251873	True	50.00000000000003
nu	0.45	0.1027452777777777	-3.309336688387395	0.001999000499750125	True	55.000000000000036
nu	0.4	0.09132913580246901	-3.676523276470244	0.0004997501249375312	True	60.00000000000005
nu	0.35	0.07991299382716038	-4.059465825015667	0.0004997501249375312	True	65.00000000000004
nu	0.3	0.06849685185185173	-4.456342593342868	0.0004997501249375312	True	70.00000000000006
nu	0.25	0.05708070987654306	-4.864314171315284	0.0004997501249375312	True	75.00000000000006
nu	0.2	0.04566456790123441	-5.299453875688441	0.0004997501249375312	True	80.00000000000007
nu	0.15	0.03424842592592575	-5.7273707855797005	0.0004997501249375312	True	85.00000000000009
nu	0.1	0.0228322839506171	-6.147744077355438	0.0004997501249375312	True	90.00000000000009
nu	0.05	0.011416141975308453	-6.563346056704403	0.0004997501249375312	True	95.00000000000007
nu	-0.0	2.1217595581725217e-16	-6.9612122846961455	0.0004997501249375312	True	99.9999999999999
mu	1.0	0.8409976287655928	-3.541517068918748	0.0009995002498750624	True	0.0
mu	0.95	0.7989477473273134	-3.6891268582759906	0.0009995002498750624	True	4.999999999999967
mu	0.9	0.7568978658890335	-3.8452231484544592	0.0004997501249375312	True	10.000000000000002
mu	0.85	0.714847984450754	-4.008120073951827	0.0004997501249375312	True	14.999999999999982
mu	0.8	0.672798103012474	-4.17547751938009	0.0004997501249375312	True	20.00000000000003
mu	0.75	0.6307482215741944	-4.3487810693012445	0.0004997501249375312	True	25.00000000000002
mu	0.7	0.5886983401359147	-4.531766988755253	0.0004997501249375312	True	30.000000000000032
mu	0.65	0.5466484586976351	-4.723514713174922	0.0004997501249375312	True	35.00000000000002
mu	0.6	0.5045985772593556	-4.921752599901688	0.0004997501249375312	True	40.00000000000001
mu	0.55	0.462548695821076	-5.122459303671093	0.0004997501249375312	True	45.00000000000001
mu	0.5	0.42049881438279585	-5.325997071700532	0.0004997501249375312	True	50.00000000000007
mu	0.45	0.37844893294451626	-5.539767979574508	0.0004997501249375312	True	55.00000000000006
mu	0.4	0.33639905150623656	-5.763477947278399	0.0004997501249375312	True	60.000000000000064
mu	0.35	0.2943491700679569	-5.987536957161448	0.0004997501249375312	True	65.00000000000007
mu	0.3	0.2522992886296774	-6.2083003050105035	0.0004997501249375312	True	70.00000000000004
mu	0.25	0.21024940719139767	-6.42524559513144	0.0004997501249375312	True	75.00000000000006
mu	0.2	0.16819952575311783	-6.640365549221741	0.0004997501249375312	True	80.00000000000009
mu	0.15	0.1261496443148381	-6.850778673158789	0.0004997501249375312	True	85.0000000000001
mu	0.1	0.08409976287655868	-7.06281384062448	0.0004997501249375312	True	90.00000000000007
mu	0.05	0.042049881438278855	-7.26438000207911	0.0004997501249375312	True	95.0000000000001
mu	-0.0	4.2106236193191124e-16	-7.477459853064147	0.0004997501249375312	True	99.99999999999996
