evaluation_point	f_codon	anchoring	C_tot_uM	K_d_uM	P_star	A_star	P_dagger	headroom_P	headroom_A	margin_log10	c_free_uM	folding_arm_saturation	mechanism	collapsed
window_bottom	0.0001	as_published	50.0	1.0	0.000173371563146327	2.254073375745902e-05	0.027402369283022754	158.05573178050503	11091.0320262876	2.198810249846641	47.527998958218966	0.9793933394850884	aggregation_death	False
window_bottom	0.0001	weaker_binding	50.0	10.0	0.0002029014125796537	3.087197202683578e-05	0.027402369283022754	135.05262942546204	8097.960175096197	2.1305030441610264	49.69748927672273	0.832488767598821	aggregation_death	False
window_bottom	0.0001	smaller_pool	5.0	1.0	0.00020470483702624952	3.142311566546596e-05	0.021432113662126856	104.69764160667387	7955.926543425173	2.0199368989783317	4.710708552071041	0.824890380785176	monomer_runaway	False
window_bottom	0.0001	near_capacity	2.0	1.0	0.0002573768420883743	4.966979369051827e-05	0.015818819227666436	61.46170377766466	5033.240153113899	1.788604595148835	1.8566429316127433	0.6499387484051284	monomer_runaway	False
window_bottom	0.0001	c_free_at_Kd	1.0	1.0	0.0003463264075467768	8.991606093312898e-05	0.013756762133777209	39.72195545590655	2780.3709082176792	1.5990306200551145	0.905880860749385	0.47530823117306303	monomer_runaway	False
window_bottom	0.0001	Kd_at_C_tot	50.0	50.0	0.00033049999934808453	8.188915800581842e-05	0.027402369283022754	82.91185881111733	3052.9071990487055	1.9186166517553056	49.90104622552996	0.4995047410502255	aggregation_death	False
usage_weighted_mu	0.0006334247974475959	as_published	50.0	1.0	0.0011041648112449756	0.0009102422430882356	0.027402369283022754	24.817281807890474	274.6521619913062	1.394754212276315	37.558701150173626	0.9740655164678572	aggregation_death	False
usage_weighted_mu	0.0006334247974475959	weaker_binding	50.0	10.0	0.0012923211925234932	0.0012448226315637523	0.027402369283022754	21.203992816611343	200.83182427841047	1.326417648426178	48.13386748897635	0.8279832319448511	aggregation_death	False
usage_weighted_mu	0.0006334247974475959	smaller_pool	5.0	1.0	0.0013690634751025723	0.0013960069225065208	0.021432113662126856	15.654579975206138	179.08220652024184	1.1946414196439352	3.544291846397853	0.779943710967271	monomer_runaway	False
usage_weighted_mu	0.0006334247974475959	near_capacity	2.0	1.0	0.001876697682661761	0.0026075003536106256	0.015818819227666436	8.429071647400482	95.87726408313736	0.9257797453705495	1.2795829134605183	0.5613232604547157	monomer_runaway	False
usage_weighted_mu	0.0006334247974475959	c_free_at_Kd	1.0	1.0	0.002965065910434897	0.006389578333516624	0.013756762133777209	4.639614278172809	39.126212552809854	0.6664818762824029	0.5292350015174735	0.3460782685410083	monomer_runaway	False
usage_weighted_mu	0.0006334247974475959	Kd_at_C_tot	50.0	50.0	0.0021076096246078107	0.003277794077240645	0.027402369283022754	13.001634156098454	76.27080716750157	1.1139979415663273	49.375612898208956	0.4968584490521301	aggregation_death	False
unweighted_mean_mu	0.001136921554262295	as_published	50.0	1.0	0.001993171809585956	0.0029364370831787834	0.027402369283022754	13.74812203907052	85.13718936193494	1.1382433786193675	31.290060216730012	0.9690307174007102	aggregation_death	False
unweighted_mean_mu	0.001136921554262295	weaker_binding	50.0	10.0	0.002333993494032036	0.004005426995554326	0.027402369283022754	11.740550842618001	62.41531808655561	1.0696884735979044	46.72810706374369	0.8237205414105693	aggregation_death	False
unweighted_mean_mu	0.001136921554262295	smaller_pool	5.0	1.0	0.002598007474114471	0.004940204046557858	0.021432113662126856	8.24944265005703	50.60519720317833	0.9164246076794549	2.809932392645326	0.7375281509114454	monomer_runaway	False
unweighted_mean_mu	0.001136921554262295	near_capacity	2.0	1.0	0.003959462968270733	0.011137761582488664	0.015818819227666436	3.9951931245300143	22.44616192835931	0.6015377776150908	0.914144093836862	0.4775732907361635	monomer_runaway	False
unweighted_mean_mu	0.001136921554262295	c_free_at_Kd	1.0	1.0	0.00959583873266252	0.05431143232920216	0.013756762133777209	1.433617479100774	4.603082431791806	0.15643328740087523	0.2578149100590988	0.20497046743307035	monomer_runaway	False
unweighted_mean_mu	0.001136921554262295	Kd_at_C_tot	50.0	50.0	0.0038288008698316727	0.01044889051105749	0.027402369283022754	7.156906356487392	23.925985226416014	0.8547253347873873	48.877154646644186	0.4943220182793057	aggregation_death	False
window_top	0.001	as_published	50.0	1.0	0.0017502786278540891	0.0022718010561485064	0.027402369283022754	15.656004048120694	110.04484715921254	1.1946809249440333	32.78508822843688	0.9704011428580998	aggregation_death	False
window_top	0.001	weaker_binding	50.0	10.0	0.0020491658686328396	0.0031012226580047347	0.027402369283022754	13.372450567559492	80.61336691021245	1.1262110011622448	47.10426635363427	0.8248817358396274	aggregation_death	False
window_top	0.001	smaller_pool	5.0	1.0	0.002249519141878995	0.0037258427560461077	0.021432113662126856	9.527419999735981	67.09891328460192	0.9789753107562927	2.985331735106039	0.749079859226978	monomer_runaway	False
window_top	0.001	near_capacity	2.0	1.0	0.003318433569751112	0.00794350468429153	0.015818819227666436	4.766953713300602	31.47225436832447	0.6782409349864654	1.0022399707926193	0.5005593662161615	monomer_runaway	False
window_top	0.001	c_free_at_Kd	1.0	1.0	0.00650934080186407	0.027889513452909243	0.013756762133777209	2.1133879070884882	8.963942681256123	0.3249792180396899	0.33866135234664874	0.2529850822636969	monomer_runaway	False
window_top	0.001	Kd_at_C_tot	50.0	50.0	0.0033542362205455398	0.008109366354090444	0.027402369283022754	8.169481062537086	30.828549245884982	0.9121944703837722	49.0135812233715	0.49501877033210645	aggregation_death	False
