f_base	error_factor	capacity_factor	capacity_knob	margin_baseline	margin_error_only	margin_capacity_only	margin_both	collapsed_error_only	collapsed_capacity_only	collapsed_both	binding_pool_baseline	qualitative_supraadditive	D_error	D_capacity	D_both	interaction	interaction_pct_of_additive	evaluation_point	knob
0.0001	3.0	3.0	k_obs_max	2.198810249846641	1.7208222189464701	1.7460071483288637	1.2661984013940608	False	False	False	P	False	0.47798803090017095	0.45280310151777736	0.9326118484525803	0.001820716034631964	0.19560951659500955	window_bottom	k_obs_max
0.0002	3.0	3.0	k_obs_max	1.897348567374291	1.4184517959661618	1.4437197319602648	0.9592051385358865	False	False	False	P	False	0.47889677140812914	0.4536288354140261	0.9381434288384044	0.005617822016249163	0.6024308582145514		k_obs_max
0.0006334247974475959	3.0	3.0	k_obs_max	1.394754212276315	0.9105838829251103	0.9348001027011742	0.38042474843005175	False	False	False	P	False	0.48417032935120474	0.4599541095751408	1.0143294638462632	0.07020502491991765	7.435992759572511	usage_weighted_mu	k_obs_max
0.001	3.0	3.0	k_obs_max	1.1946809249440333	0.7032005851375519	0.7237985264018814		False	False	True	P	True	0.4914803398064814	0.47088239854215197	inf				k_obs_max
0.002	3.0	3.0	k_obs_max	0.8876792656105568	0.3571686990978032	0.34714121888533694		False	False	True	P	True	0.5305105665127536	0.5405380467252199	inf				k_obs_max
0.005	3.0	3.0	k_obs_max	0.4550700512836946				True	True	True	P	False							k_obs_max
0.0001	3.0	3.0	C_tot	2.198810249846641	1.7208222189464701	2.181752644758866	1.702039279915588	False	False	False	P	False	0.47798803090017095	0.017057605087774874	0.4967709699310532	0.0017253339431073655	0.3485201802989688	window_bottom	C_tot
0.0002	3.0	3.0	C_tot	1.897348567374291	1.4184517959661618	1.879430204845064	1.397047668241061	False	False	False	P	False	0.47889677140812914	0.01791836252922696	0.5003008991332298	0.0034857651958737357	0.7016221845434482		C_tot
0.0006334247974475959	3.0	3.0	C_tot	1.394754212276315	0.9105838829251103	1.3730550596281488	0.8769241962088653	False	False	False	P	False	0.48417032935120474	0.021699152648166242	0.5178300160674497	0.011960534068078732	2.36435177326898	usage_weighted_mu	C_tot
0.001	3.0	3.0	C_tot	1.1946809249440333	0.7032005851375519	1.1696957602724283	0.6567991850146258	False	False	False	P	False	0.4914803398064814	0.024985164671605053	0.5378817399294076	0.021416235451321097	4.146692328070051		C_tot
0.002	3.0	3.0	C_tot	0.8876792656105568	0.3571686990978032	0.852982722022078	0.23950384925973867	False	False	False	P	False	0.5305105665127536	0.034696543588478734	0.6481754163508181	0.08296830624958573	14.67927504215677		C_tot
0.005	3.0	3.0	C_tot	0.4550700512836946		0.37166683748771334		True	False	True	P	False							C_tot
