C_tot_uM	K_d_uM	theta	f_codon	C_avail_uM	c_free_uM	folding_arm_saturation	P_star	P_dagger	headroom_P	headroom_A	margin_log10	mechanism	collapsed
30.0	0.06	0.0	0.0006334247974475959	30.0	4.651779919273401	0.9872659587187909	0.0010898288620965518	0.027402369283022754	25.14373608192722	281.8925999954972	1.4004298095158783	aggregation_death	False
30.0	0.06	0.5	0.0006334247974475959	15.0	2.3013419789324496	0.9745907197960689	0.0011035872232216634	0.027402369283022754	24.83027050913835	274.9384314329949	1.3949814509273453	aggregation_death	False
30.0	0.06	0.8	0.0006334247974475959	5.999999999999998	0.8911246306974177	0.9369167845479885	0.001146612986177756	0.022081377745102968	19.257917022823392	254.7830490100424	1.2846093111158743	monomer_runaway	False
30.0	0.06	0.9	0.0006334247974475959	2.999999999999999	0.42113499125437887	0.8752948733918259	0.001224721318484744	0.01646915237157889	13.447265204752815	223.47381654208166	1.1286339700447587	monomer_runaway	False
30.0	0.06	0.95	0.0006334247974475959	1.5000000000000013	0.1863273582388662	0.7564216966033575	0.0014100695186984248	0.012732126599452132	9.029431833406779	168.88855354654797	0.9556604236934222	monomer_runaway	False
30.0	0.06	0.98	0.0006334247974475959	0.6000000000000005	0.046450586777627284	0.4363582032164975	0.0023833904009539354	0.010029543880254841	4.2080994688241535	59.90421586127491	0.624085996889716	monomer_runaway	False
30.0	0.06	0.99	0.0006334247974475959	0.30000000000000027									True
30.0	1.0	0.0	0.0006334247974475959	30.0	22.440569181352476	0.957338919875908	0.0011228816223504729	0.027402369283022754	24.40361364688	265.6133086819826	1.3874541407115852	aggregation_death	False
30.0	1.0	0.5	0.0006334247974475959	15.0	11.102179950664318	0.9173702585751827	0.0011702866964436258	0.027402369283022754	23.415090820305466	244.62886955729624	1.3694958466229468	aggregation_death	False
30.0	1.0	0.8	0.0006334247974475959	5.999999999999998	4.299888593237748	0.8113167885687402	0.0013179499653672756	0.023023402291633334	17.469101936064288	193.14458007851096	1.2422705790392088	monomer_runaway	False
30.0	1.0	0.9	0.0006334247974475959	2.999999999999999	2.0337725217799183	0.6703773955295439	0.0015836374158083603	0.0178553526900659	11.27489948887809	134.15139184162726	1.0521126790094055	monomer_runaway	False
30.0	1.0	0.95	0.0006334247974475959	1.5000000000000013	0.9034358899020614	0.4746342625432719	0.0022010936867643952	0.014753369131884004	6.702744740307459	70.0301786494762	0.8262526805325016	monomer_runaway	False
30.0	1.0	0.98	0.0006334247974475959	0.6000000000000005	0.23291036504155502	0.1889110284458553	0.005253661065319423	0.01338479760808145	2.5477086248363934	13.218886647477465	0.406149757312596	monomer_runaway	False
30.0	1.0	0.99	0.0006334247974475959	0.30000000000000027									True
30.0	2.0	0.0	0.0006334247974475959	30.0	25.560260120780544	0.9274317444307429	0.001157979837513453	0.027402369283022754	23.663943356616866	249.82982489097517	1.3740871171016773	aggregation_death	False
30.0	2.0	0.5	0.0006334247974475959	15.0	12.645986101327187	0.8634438141506384	0.0012409808033479544	0.027402369283022754	22.081219313865162	217.6883918274271	1.3440230512429665	aggregation_death	False
30.0	2.0	0.8	0.0006334247974475959	5.999999999999998	4.898872658801211	0.710097562469354	0.0014984771911016783	0.02395831872610279	15.988444047312235	149.6890567301532	1.2038062014231565	monomer_runaway	False
30.0	2.0	0.9	0.0006334247974475959	2.999999999999999	2.3189746507298636	0.5369271269832483	0.0019578346808169222	0.01917040248010227	9.791634946472225	88.1939685774989	0.9908552136568732	monomer_runaway	False
30.0	2.0	0.95	0.0006334247974475959	1.5000000000000013	1.0335172891969688	0.3406993238105332	0.00300903020316499	0.01656940439084003	5.506559679398308	38.025288470336925	0.7408803504139162	monomer_runaway	False
30.0	2.0	0.98	0.0006334247974475959	0.6000000000000005	0.2611915876711918	0.11551059587135376	0.008647762238430815	0.016226892667454113	1.8764267818721359	5.474950096571711	0.2733316229194813	monomer_runaway	False
30.0	2.0	0.99	0.0006334247974475959	0.30000000000000027									True
50.0	0.06	0.0	0.0006334247974475959	50.0	7.785714090109015	0.992352512555149	0.001084403701993632	0.027402369283022754	25.26952760548919	284.70778595731986	1.402597123192295	aggregation_death	False
50.0	0.06	0.5	0.0006334247974475959	25.0	3.868298175089543	0.9847262103522393	0.0010925580639564478	0.027402369283022754	25.080927217535127	280.4922100060685	1.3993435879009233	aggregation_death	False
50.0	0.06	0.8	0.0006334247974475959	9.999999999999998	1.5178750339885738	0.9619741749456981	0.0011176315277711163	0.027402369283022754	24.51825006911811	268.102954531019	1.3894894702327505	aggregation_death	False
50.0	0.06	0.9	0.0006334247974475959	4.999999999999999	0.7344470645317437	0.9244757735553286	0.0011615685163607575	0.020388166324708246	17.552271809660628	248.29614069884983	1.2443333356477806	monomer_runaway	False
50.0	0.06	0.95	0.0006334247974475959	2.500000000000002	0.3428300885671175	0.851053827152231	0.001258448417085518	0.015326941217953936	12.179236756839112	211.72124455253336	1.085620072970158	monomer_runaway	False
50.0	0.06	0.98	0.0006334247974475959	1.0000000000000009	0.10827592819580845	0.6434427630660098	0.0016471326298705656	0.011237271132905943	6.8223231870459555	124.1006731439529	0.8339322889538324	monomer_runaway	False
50.0	0.06	0.99	0.0006334247974475959	0.5000000000000004	0.031379114069938145	0.3433948160837032	0.002986833120180477	0.009798452490278173	3.280549028358876	38.57506401849742	0.5159465327461468	monomer_runaway	False
