s	delta_reduction_pct_if_all_aa	power	ci95_low	ci95_high	n_reps	ci_excludes_0.80
0.8	19.999999999999993	0.0	0.0	0.009512640599680667	400	True
0.6	39.999999999999986	0.03	0.017242849034032177	0.05169903312966765	400	True
0.4	59.99999999999999	0.5125	0.463629805456242	0.5611323785287659	400	True
0.2	79.99999999999999	0.825	0.7847204162241496	0.859096367386058	400	False
