aa,n,beta_mu,p_mu,stderr_mu,beta_tai,p_tai,stderr_tai,sig_mu,sig_tai,category
C,15388,-67.93215971323085,0.02890694501737029,31.09374495932548,3.6363882954895255,0.028906945016938492,1.6644389153831223,True,True,Both significant
D,67636,-6029.123585775543,0.07800916162738598,3421.0587763780136,1.4620739375437504,0.006074714077311635,0.5328799579491257,False,True,tAI-dominated
E,76114,-105663.5487827185,0.9830858502393693,4984051.8415090665,0.6716290762175248,0.026455015175099683,0.3026083640338301,False,True,tAI-dominated
F,51492,-31282.82903907858,0.17214290743299587,22911.939880682054,5.667826784498817,0.009870827972111893,2.1965580954587116,False,True,tAI-dominated
H,29947,272870.1389760218,0.9992682625733267,297536838.4033003,4.916831590285516,0.0029855059498532528,1.6559302035827408,False,True,tAI-dominated
K,58003,-17356.372302922493,0.0036092460241505288,5963.495120931688,-0.0469024712918085,0.8872571991071336,0.33082171217144324,True,False,μ-dominated
N,51458,120816.78649564068,0.988849961335527,8645235.580169544,1.7713877425175169,0.00807708080000392,0.6687433114013207,False,True,tAI-dominated
Q,58613,97079.9157691454,0.9996911102394361,250764427.67159778,2.8923926233191244,0.19112966385341656,2.2125872204476407,False,False,Weak/no signal
Y,37348,501.1514395226909,0.17734162277422216,371.50246510734667,0.7607122558346678,0.5785602693536802,1.3694462547717048,False,False,Weak/no signal
