alpha	R	throughput	eps	accuracy	j	j_crit	j_over_jcrit	on_front
0.0	0.10559523809523809	0.3444047619047619	1.0	-1.0	0.12054166666666664	0.16491548047478125	0.7309299667904723	False
0.0	0.1257142857142857	0.3242857142857143	1.0	-1.0	0.11349999999999999	0.20380262851831912	0.5569113648099875	False
0.0	0.14583333333333331	0.30416666666666664	1.0	-1.0	0.10645833333333332	0.24327266495805228	0.4376091056169012	False
0.0	0.16595238095238093	0.284047619047619	1.0	-1.0	0.09941666666666664	0.28313917646107756	0.35112296330470255	False
0.0	0.18607142857142855	0.2639285714285714	1.0	-1.0	0.09237499999999998	0.32327512167157857	0.28574732111258944	False
0.0	0.20619047619047617	0.24380952380952378	1.0	-1.0	0.08533333333333332	0.3635913152033327	0.23469574152400202	False
0.0	0.2263095238095238	0.22369047619047616	1.0	-1.0	0.07829166666666665	0.4040237759613656	0.1937798499119844	False
0.0	0.24642857142857139	0.20357142857142857	1.0	-1.0	0.07125	0.4445258882626736	0.16028312834256764	False
0.0	0.26654761904761903	0.18345238095238092	1.0	-1.0	0.06420833333333333	0.4850633369835424	0.13237102959094976	False
0.0	0.2866666666666666	0.16333333333333333	1.0	-1.0	0.057166666666666664	0.5256107202753384	0.10876236815854937	False
0.0	0.3067857142857143	0.14321428571428568	1.0	-1.0	0.05012499999999999	0.5661492176490285	0.08853672925337125	False
0.0	0.32690476190476186	0.12309523809523809	1.0	-1.0	0.04308333333333333	0.6066649443412278	0.07101668513270888	False
0.0	0.34702380952380946	0.1029761904761905	1.0	-1.0	0.03604166666666667	0.6471477647032196	0.055693102305924364	False
0.0	0.3671428571428571	0.08285714285714285	1.0	-1.0	0.028999999999999995	0.6875904201676329	0.042176271148352915	False
0.0	0.3872619047619047	0.06273809523809526	1.0	-1.0	0.02195833333333334	0.7279878774416804	0.0301630480585749	False
0.0	0.40738095238095234	0.04261904761904761	1.0	-1.0	0.014916666666666663	0.7683368338230746	0.019414228252529062	False
0.0	0.42749999999999994	0.02250000000000002	1.0	-1.0	0.007875000000000007	0.8086353365574098	0.009738629570068156	False
0.04	0.08547619047619047	0.36052380952380947	0.8869204367171575	-0.8869204367171575	0.11191457710642663	0.12689615129660622	0.881938309104728	False
0.04	0.10559523809523809	0.3404047619047619	0.8869204367171575	-0.8869204367171575	0.10566917903120998	0.16491548047478125	0.6407474830561394	False
0.04	0.1257142857142857	0.3202857142857143	0.8869204367171575	-0.8869204367171575	0.09942378095599334	0.20380262851831912	0.48784346737243617	False
0.04	0.14583333333333331	0.30016666666666664	0.8869204367171575	-0.8869204367171575	0.09317838288077669	0.24327266495805228	0.38302035658976946	False
0.04	0.16595238095238093	0.280047619047619	0.8869204367171575	-0.8869204367171575	0.08693298480556003	0.28313917646107756	0.30703269640084757	False
0.04	0.18607142857142855	0.2599285714285714	0.8869204367171575	-0.8869204367171575	0.08068758673034339	0.32327512167157857	0.24959417326371147	False
0.04	0.20619047619047617	0.23980952380952378	0.8869204367171575	-0.8869204367171575	0.07444218865512674	0.3635913152033327	0.20474138281739793	False
0.04	0.2263095238095238	0.21969047619047616	0.8869204367171575	-0.8869204367171575	0.06819679057991009	0.4040237759613656	0.16879400331734767	False
0.04	0.24642857142857139	0.19957142857142857	0.8869204367171575	-0.8869204367171575	0.06195139250469345	0.4445258882626736	0.1393650946783237	False
0.04	0.26654761904761903	0.17945238095238092	0.8869204367171575	-0.8869204367171575	0.05570599442947678	0.4850633369835424	0.11484272296458228	False
0.04	0.2866666666666666	0.15933333333333333	0.8869204367171575	-0.8869204367171575	0.049460596354260145	0.5256107202753384	0.09410119399457924	False
0.04	0.3067857142857143	0.13921428571428568	0.8869204367171575	-0.8869204367171575	0.043215198279043486	0.5661492176490285	0.07633181665161953	False
0.04	0.32690476190476186	0.11909523809523809	0.8869204367171575	-0.8869204367171575	0.03696980020382684	0.6066649443412278	0.06093940411205403	False
0.04	0.34702380952380946	0.0989761904761905	0.8869204367171575	-0.8869204367171575	0.030724402128610197	0.6471477647032196	0.04747664104611462	False
0.04	0.3671428571428571	0.07885714285714285	0.8869204367171575	-0.8869204367171575	0.02447900405339354	0.6875904201676329	0.035601141806812286	False
