name	p_kappa_a	p_rho_A	p_alpha_g	p_alpha_n	tr_max	fold_is_j_max	j_lo	j_crit	j_at_first_cross	cross
draw2	1.26522334974	1.06377591444	0.819080397641	0.117203008073	-0.389238310610378	1.0	0.0015231546342581	0.2389819117094907		0
draw5	0.0520275964052	0.015419866799	0.181569030368	1.92435255292	-0.4275507095011902	1.0	1.1875494864324576e-05	0.0557333739241402		0
draw7	0.0452413012648	0.0516869717376	37.3151898774	3.28483176559	-0.2407834782999259	1.0	0.0022677943784246	0.092598588606605		0
draw10	5.85019067138	0.264299113249	0.042298854273	1.19529861597	-0.1158181268704223	1.0	0.0055766953727636	0.0761478374671758		0
draw11	0.022510881111	0.0790187789617	35.1104426003	0.0121505306174	-0.0984982250269767	1.0	0.0068786513927856	0.0378554175089827		0
draw13	7.57726968538	0.0323035156109	35.0256534047	0.0668374789831	-0.3975273876035195	1.0	0.0367415704180704	0.2042986538462546		0
draw14	0.429342474437	0.819323310162	33.8688689274	0.0025583892486	-1.8188813150512404	1.0	0.1538689606997909	0.2650229883529441		0
draw17	6.77911873147	0.710930946756	0.158978201398	0.00119072788347	-0.0262603593404971	1.0	0.011636702643408	0.0234142204218222		0
draw19	0.550190691553	0.235712139134	0.0121806389656	0.877253522906	-0.1671239335083491	1.0	0.0045396078391069	0.0647508331539574		0
draw21	0.14510435193	1.07960783704	0.210171536742	0.256148397222	-0.1804559384964927	1.0	0.0778034346256602	0.5209728495420378		0
draw23	0.0383166460249	0.176338242908	1.42105992596	2.26312503357	-3.2195234823807786	1.0	0.0008564285651689	0.2257895540517043		0
draw25	0.206204256992	2.24749106103	6.94910658963	0.00163584802546	-0.0259340417895769	1.0	0.2713169199770844	0.582334907390931		0
draw26	0.334950514793	1.63353238822	7.6016373819	0.00416191254058	-0.054103578805626	1.0	0.0092730229094066	0.2537697030709441		0
draw28	0.0739459894521	0.178323798682	0.187313301176	0.0337649022218	-0.0036941324891159	1.0	0.0087133596860863	0.0261547546429032		0
draw30	0.609617736337	0.736422862829	0.301203533788	0.00139893054011	-2.8392606988132894	1.0	0.0282736575573578	0.1505045718766268		0
draw34	0.025199967477	9.36409899477	0.258654237931	0.0322206929647	0.0966146822455006	1.0	0.0007903185238526	0.0444443976124912	0.0400072918654414	1
draw37	0.0771122792173	0.129625978973	0.033077264414	0.0124533699849	-0.4004478074153503	1.0	0.0026221970533309	0.0115919991266561		0
draw39	0.135597343259	0.137154503883	0.323951406728	0.00383411179025	-0.0352769559953079	1.0	0.0076809088896731	0.0391242179474028		0
draw42	0.631521509239	0.546523907481	2.0405591706	1.80497293453	-0.27182553970308	1.0	0.002912481272173	0.1706838854008711		0
draw44	0.591926749127	0.0147990502375	0.223579870561	0.00138214131619	-0.0346304139867493	1.0	0.0105724498159141	0.0146883731688285		0
draw45	1.60877698997	0.0234517565345	12.7141304118	0.0167239564221	-10.116698664673946	1.0	0.0024273499650629	0.0225041033792606		0
draw47	0.277986531768	0.27779242698	0.343822920544	0.00170006702575	-0.0144028253832744	1.0	0.0087799531876427	0.0153181251744441		0
draw48	0.0846811694491	0.0443859810776	0.284008989093	0.00174061627857	-7.249790123932535	1.0	0.0140526007538435	0.1818139586089272		0
draw49	8.40321557262	0.230266506803	0.0675743200153	1.49401252423	-0.4683691046151917	1.0	0.005092741612993	0.1475716018037798		0
draw50	2.78455404941	0.0979395211233	12.5213885957	0.372667283823	-0.4269051966011175	1.0	0.0104515152958784	0.0141621981001443		0
draw51	0.1973546023	0.260903603922	10.996473852	0.0074670440939	-0.0229052863344406	1.0	0.028948149639801	0.1399575075234753		0
draw54	0.0998125162663	0.0249073402746	2.8019537696	0.0801398128633	-0.6898537297610299	1.0	0.0175211691172735	0.1508533836683239		0
draw56	1.16908179658	0.721438289209	0.898202534276	0.00199922977103	-0.039712258015539	1.0	0.0010883542668368	0.0773136741009143		0
draw58	6.3312110607	2.31465413405	25.6704067478	0.114117355361	-5.608624865705	1.0	0.2040478362945022	0.3663061430538372		0
draw59	0.927659060698	0.0381316336755	10.640404726	0.384907457778	-2.3741949871914625	1.0	0.0014327514135754	0.0186681080535574		0
draw60	4.27220804848	0.90247778627	23.2241028303	0.00359487053263	-0.169435149888853	0.0	0.0034807401202381	0.0034807396559569		0
draw64	2.13556033866	0.149433310667	0.11665231926	0.0033211527581	-0.0299509257594834	1.0	0.0050608115593789	0.0212551196731259		0
draw65	4.12929668172	4.54433450205	39.4729046135	9.77729497054	-1.521878849459952	1.0	0.1688765807082781	0.3464133190628198		0
draw66	2.78625452695	4.75579571533	0.416931176015	3.47164799734	-0.7264548447062285	1.0	0.0093839683740528	0.4269523675316526		0
draw68	1.31609308918	2.14001879573	0.021080994998	0.00343625779687	-0.0476184493983163	1.0	0.0143806335761813	0.0475561734153136		0
draw69	0.0940998229009	3.2852027263	9.74223226115	3.32972841277	-0.6984567912186374	1.0	0.0014108033126	0.1162532209874119		0
draw71	4.37543110679	0.625176073649	39.3529337466	0.830994481733	-2.2659650445140445	1.0	0.0113977330911998	0.0653331673020418		0
draw73	0.147730347734	9.13604187088	8.17423888799	5.92932063876	-2.179415492080368	1.0	0.0022361936659469	0.6576187964148993		0
draw75	0.856616880394	0.016557670614	14.3289713624	0.0971950403596	-0.7367390207791781	1.0	0.0085806489847862	0.0449721403147306		0
draw77	1.23699560793	3.56810862503	0.628880162196	0.00923003574031	-0.0107907141339143	1.0	0.1093978898792038	0.4228438569691459		0
draw79	0.0140868695416	0.01733907318	0.0538926713155	0.0018590895132	-0.0924809536286716	1.0	0.0004752933525944	0.1369169800102714		0
draw80	0.0228422954514	3.73727159245	0.879853898096	0.481677309339	-0.0981660463792681	1.0	0.0698227579322043	0.7471071293234754		0
draw82	0.279135318152	5.33769775267	0.148946297189	4.79883046914	-1.900399807328443	1.0	0.0257959252868474	0.5219798038232699		0
draw85	7.43837866887	0.0178709417253	2.40550811066	0.0173658177046	-8.442384725465624	1.0	0.0042522434044244	0.3650763538308586		0
draw89	2.49388086976	0.472239824276	15.498754136	0.0570297945559	-1.25487401927655	1.0	0.0198938697436036	0.028212668534424		0
draw90	2.88438317457	0.0931730154056	0.23008071979	0.871947162749	-10.587241214676448	1.0	0.0025616069770922	0.5319137668588758		0
draw93	0.0904556434248	1.20620993721	0.422830808883	0.139053665891	-0.590995926004825	1.0	0.0019907918259525	0.8436359200855512		0
draw94	0.0129699583013	0.789292662102	0.0223865070128	1.00495174847	-0.6956088138936115	1.0	0.0026636106432458	0.226474285292844		0
draw95	0.231635528101	0.18891205059	34.2087349231	2.09752954114	-0.7629788744880217	1.0	0.0711834705609739	0.1077912309816948		0
draw96	0.606413353763	0.549937689369	3.0011775863	5.59429685461	-0.1558743012584018	1.0	0.0003156388211349	0.0222003085060602		0
draw98	1.554167627	7.17451998869	0.299010068765	0.00697030055587	-0.065489999362435	1.0	0.0013587220305678	0.3704392356615355		0
draw99	1.61373905411	0.0204009733601	0.102458682265	5.1002663795	-1.2935824440827268	1.0	0.0007517707255326	0.327679257466211		0
draw104	1.29259441855	0.0510697475595	12.5978872453	0.0470116487008	-0.2206581782868946	1.0	0.0012562607737133	0.0034106144337475		0
draw109	3.97179915581	1.83818450688	0.443600970024	9.95434326357	-0.1986578600818435	1.0	0.0005052793774092	0.0677620693225367		0
draw110	7.80676131033	0.0204303730922	3.86220350886	0.438852510685	-0.7998111992989743	1.0	0.0131935042893978	0.0408827795091374		0
draw111	1.9325835144	0.764149302791	3.48807400325	2.88393797288	-1.8681962457821384	1.0	0.0034228850345084	0.1654164332817344		0
draw112	0.339779789579	0.0427860505144	1.13559828166	0.113592347469	-0.5474693599108371	1.0	0.0081279589684529	0.0468792373922161		0
draw113	3.53350672477	7.87377188888	9.92118859767	0.00547867933903	-1.6630624886072027	1.0	0.5721511074395413	1.7862947598790777		0
draw114	4.12146111637	0.0467381408637	27.6403008525	0.915005111934	-3.067318924706088	1.0	0.0023615752325487	0.0042631466021493		0
draw115	0.391966127648	0.0870570856374	66.8711117671	0.00478724156089	-0.0170528061220229	0.0	0.0003960775546263	0.000396160821949		0
draw118	0.190527870098	0.051775348153	0.754337350507	0.103744015826	-0.9675698914327352	1.0	0.0420873053601125	0.6012661712018057		0
draw119	0.348162108274	0.0419130911334	0.0348100762801	0.731626458018	-0.1291863214069879	1.0	2.1830355479276585e-05	0.0496121959092044		0
draw120	0.03179198778	0.620523456023	72.1344316312	0.00137812655442	-0.1105612620119797	1.0	0.0048614729239581	0.026975262099425		0
draw122	0.0275751879749	0.281289035174	10.839483699	0.170947380342	0.9812060104130136	1.0	0.0215492903365083	0.3168357593157284	0.2653528191905006	1
draw125	4.48008248178	4.77489625962	12.3249334912	0.0391874661987	-4.213859239744827	1.0	0.3164151529637337	0.8000289724061793		0
draw128	3.65849433416	0.0393788334819	0.12168523679	0.0828854950054	-1.7052517115542702	1.0	0.0075357884059752	0.5989742575083494		0
draw129	0.0873963343103	0.110051631351	0.820380642654	0.121543913164	-0.229312180551769	1.0	0.013740542379548	0.1068335739844629		0
draw130	0.427564288532	1.09248310512	4.24121827187	1.23094954392	-1.321009592515765	1.0	0.1106769688955189	0.2217176091765307		0
draw132	0.912493382152	3.96678822281	0.0392539795971	1.72889790821	-1.077818661408945	1.0	0.0022873579299592	0.6285499790883387		0
draw133	9.06655806539	2.91419644699	2.43866087552	5.22143937972	-0.8251637566255269	1.0	0.0843879175687603	0.5956596804257345		0
draw135	0.0590909300778	0.411550926073	0.114062466232	0.00152357353937	-0.1042878317890704	1.0	0.0606519430408001	0.1474911634268766		0
draw136	0.340039259802	0.0529809677712	0.0322346029699	0.00288664365267	-0.023277506983298	1.0	0.0263351899373521	0.2905886710089329		0
draw139	0.0306043261242	1.16714221312	0.281268070487	6.34753924398	-2.409441962337824	1.0	0.003386117275277	0.8357876473831102		0
draw141	5.65282907533	0.199007335545	3.72171267019	0.015055668625	-0.187380056094653	1.0	0.0080227799108917	0.0107100160737722		0
draw142	2.20788585935	4.50348311124	0.0681844997021	0.118814691604	-0.0777072895114268	1.0	0.072328583276069	0.3153873721997498		0
draw143	3.98362637838	0.0425594932679	22.8842527621	0.609103088396	-1.9851915064655865	1.0	0.0065318748761187	0.0669669331854194		0
draw144	5.17189359369	0.338474498822	0.0431256067595	0.121223122415	-0.42148166841618	1.0	0.0030501913911136	0.0043624548721552		0
draw146	0.887459220456	0.467041552445	5.95451969957	0.102264157261	-1.6566504990101905	1.0	0.0174837424787648	0.2219082321068774		0
draw148	1.70203001399	0.0549608245849	0.763187479045	0.00381773567023	-14.46553135502431	1.0	0.4408201991910804	0.5414917921124086		0
draw149	3.204454192	0.61184365865	11.4688541702	0.144157216485	-0.7361325655487019	1.0	0.0021170879414466	0.0878713831767386		0
draw150	0.0593412692567	0.0123610336499	0.20526829554	0.0180965542085	-0.144827543301847	1.0	0.0061385256313081	0.1738436518427872		0
draw152	0.0601443632302	0.220245876947	0.0381686083331	0.0377768473701	-0.0954140455984074	1.0	0.026160764062107	0.1974936747976257		0
draw158	0.295951458188	0.238999315089	0.0190983755079	0.0128896383977	-0.0421160349658838	1.0	0.0491342348933298	0.1662000450034046		0
