s_ref	s_u	s_a	phi	cf_frac	df_frac
0.06053333470244136	0.02666471110006555	0.7416491561535595	0.18302721603301395	0.14716871202723383	0.6761091224587222
0.03513979809881223	0.023422989488918484	0.062403633594721335	0.05418320120217315	0.6265705414505343	0.958952326667098
0.19341948435484774	0.02548432795572519	0.9725817447675232	0.05502783508006661	0.3817631414809052	0.23202989504473043
0.002029135494696191	0.3570169359224983	0.08270010309475624	0.11581714253099581	0.4088906589610644	0.6561844239521919
0.007418669452894487	0.7919945542726589	0.0005730132289343088	0.10082051783362814	0.5250780906864363	0.8782681558967097
0.007504022296941952	0.07194558392548349	0.2953789511925818	0.037243626291169424	0.6735094227403021	0.8942799120112995
0.21287018984750533	0.7260677515971604	0.00014876189413650067	0.2728502770145648	0.9408239160735576	0.7214363280344339
0.008383572770502327	0.0007939953212249261	0.8452608559240571	0.097553636762494	0.17210855930504812	0.7753828634851088
0.039585696925979	0.7450408307873095	0.003538062789384136	0.02309426296856761	0.9472629736556645	0.0555912764218536
0.4470576292052568	0.3816739668658304	0.38124647630144537	0.08596006178395393	0.11873052194928164	0.6068044124309788
0.5989089433253921	0.6900727382019277	0.008135701842719565	0.314480239587196	0.7504695773103878	0.46046003018192844
0.06634259357354848	0.11545888974765162	0.18489651741874213	0.03244355883423218	0.10761638297914047	0.5617236392812041
0.689179123228008	0.0988226489587272	0.8073414860539201	0.07822348872654458	0.6596901761083694	0.18782825974496828
0.030976757498340057	0.01752828543989172	0.7445810902051507	0.18274534268438866	0.1594682660659669	0.7657289815950651
0.1646591028655072	0.05377159314301918	0.6197618269808608	0.19605224040871438	0.09777682119339465	0.6359990001242839
0.04429390552629081	0.017542581252380195	0.8879442515842643	0.0037108683097343016	0.19949964250858648	0.09715328726779801
0.8350258688537706	0.9803470877877825	0.2340707302608723	0.08953973122523365	0.45364356876795026	0.3354369339717793
0.47971823732777696	0.9849753363267146	0.010606814519654673	0.11934611068030192	0.507696384359271	0.001896571518477163
0.24132721151637568	0.8809677684814469	0.6111824567653562	0.018750092383894978	0.023098101098299153	0.04516922659367341
