label	name	j_over_jcrit	tr_J
crossing	draw4269	0.2775996246944881	-37.327619515719356
crossing	draw4269	0.27762944067241463	-37.1626549041913
crossing	draw4269	0.2779338494132037	-36.251363336809355
crossing	draw4269	0.2786366503264073	-35.14986708001709
crossing	draw4269	0.2787309987263021	-35.03642028744959
crossing	draw4269	0.2797291472706195	-34.05367314663356
crossing	draw4269	0.28128274034512546	-32.93323989030221
crossing	draw4269	0.2814046584216125	-32.85739674130726
crossing	draw4269	0.28329560381224383	-31.819829577598245
crossing	draw4269	0.2858629845920744	-30.684007535776832
crossing	draw4269	0.28601195699869614	-30.62468130873808
crossing	draw4269	0.2889580172463592	-29.556127421981813
crossing	draw4269	0.29269758651504707	-28.40858668629015
crossing	draw4269	0.29295306525962644	-28.336519664821605
crossing	draw4269	0.29703192163539405	-27.269266382685643
crossing	draw4269	0.30209190403738145	-26.11405624943448
crossing	draw4269	0.30267414026755485	-25.990496084776105
crossing	draw4269	0.3078117651662678	-24.96696598965701
crossing	draw4269	0.3143228620334929	-23.808879720553666
crossing	draw4269	0.3156761832140186	-23.583948340473942
crossing	draw4269	0.3215551034986133	-22.658773111923118
crossing	draw4269	0.3296210794712959	-21.503798985112113
crossing	draw4269	0.33252586879222523	-21.114720001569506
crossing	draw4269	0.3384624199982153	-20.356996797686783
crossing	draw4269	0.3481485442184649	-19.21280337917017
crossing	draw4269	0.3538690999198201	-18.582413689063028
crossing	draw4269	0.35865294624511607	-18.07763181159794
crossing	draw4269	0.36997263612866127	-16.953994931564612
crossing	draw4269	0.38044866213870876	-15.990383755441
crossing	draw4269	0.3821381806683383	-15.841041294902775
crossing	draw4269	0.39503887060493825	-14.75007715588139
crossing	draw4269	0.4087560089123	-13.67515832563548
crossing	draw4269	0.41312882479050256	-13.348816013758952
crossing	draw4269	0.42314690769823693	-12.628122788740415
crossing	draw4269	0.4382295144911038	-11.607627966448083
crossing	draw4269	0.4529336442371767	-10.679399881946727
crossing	draw4269	0.45393686044029263	-10.618281702940644
crossing	draw4269	0.47012871320121613	-9.668102793673256
crossing	draw4269	0.48681368393165886	-8.755534895721597
crossing	draw4269	0.5011177766644982	-8.022316630357645
crossing	draw4269	0.5038544944164771	-7.886910025848231
crossing	draw4269	0.5211426312683802	-7.0658546747717255
crossing	draw4269	0.5386240866039513	-6.292825843383756
crossing	draw4269	0.5561616934430419	-5.571464353328035
crossing	draw4269	0.5593338588725174	-5.446536276782212
crossing	draw4269	0.573641738626114	-4.90345696754126
crossing	draw4269	0.5910028928722998	-4.287955617580247
crossing	draw4269	0.6081267804213797	-3.725743285628129
crossing	draw4269	0.6249016968960079	-3.216658059566162
crossing	draw4269	0.6301930370333242	-3.0644225455693785
crossing	draw4269	0.6412650432797944	-2.758581033580736
crossing	draw4269	0.6571687172735088	-2.3488691842594047
crossing	draw4269	0.6725322075270443	-1.985559136109329
crossing	draw4269	0.6872965821298946	-1.6659224764643126
crossing	draw4269	0.7014185818284565	-1.3868070308725104
crossing	draw4269	0.7148700590028352	-1.1447973883847997
crossing	draw4269	0.7207530327979069	-1.046192774076761
crossing	draw4269	0.7276739253876797	-0.9357853552741501
crossing	draw4269	0.7398468690883566	-0.7561556300186075
crossing	draw4269	0.7513732381078014	-0.6030226904728173
crossing	draw4269	0.7622718245895165	-0.47323012356032734
crossing	draw4269	0.7725714675381252	-0.36380827398941734
crossing	draw4269	0.7823099701352743	-0.27201453321360963
crossing	draw4269	0.7915328468124551	-0.19535954862485158
crossing	draw4269	0.8002872411015419	-0.13165214100153264
crossing	draw4269	0.8085724553164465	-0.07926065832204915
crossing	draw4269	0.8162418275689074	-0.037376543791881156
crossing	draw4269	0.8236236843385649	-0.0028071802314106054
crossing	draw4269	0.8309445647022979	0.026214999217847444
crossing	draw4269	0.8380969458979118	0.049855649718645624
crossing	draw4269	0.8451019844566897	0.06887589248183551
crossing	draw4269	0.8520162445490814	0.08404672811037003
crossing	draw4269	0.8588994409355435	0.09601949368275466
crossing	draw4269	0.8658096275044533	0.10533056995615964
crossing	draw4269	0.872802089747337	0.11241879040987748
crossing	draw4269	0.8799284611594109	0.11764145877309048
crossing	draw4269	0.8816277505244287	0.1186305855113958
crossing	draw4269	0.8871871894079669	0.12126870117498503
crossing	draw4269	0.8946620334443505	0.12356826943713739
crossing	draw4269	0.9024008933219876	0.1247248543626099
crossing	draw4269	0.910424778379613	0.1248775330684706
crossing	draw4269	0.9187403392683322	0.12413530369062284
crossing	draw4269	0.9232862640342376	0.12340426706541527
crossing	draw4269	0.9272947305255159	0.1225909463348279
crossing	draw4269	0.9360634185000872	0.12031272095955886
crossing	draw4269	0.9450330145847404	0.11733137563260812
crossing	draw4269	0.9522376431933861	0.11447714855531432
crossing	draw4269	0.9540799871692665	0.11368017875461503
crossing	draw4269	0.963021489813089	0.10939377701582093
crossing	draw4269	0.9717401323362821	0.10443690097207584
crossing	draw4269	0.9735707680180254	0.10327619419511194
crossing	draw4269	0.9799130624032358	0.0988379423740209
crossing	draw4269	0.9872723712502812	0.09253803886404197
crossing	draw4269	0.9883412318666528	0.0914696525268223
crossing	draw4269	0.9933771946603616	0.08554019463264814
crossing	draw4269	0.9970185645762305	0.07947483774844114
crossing	draw4269	0.9977772855241176	0.07776952290242772
crossing	draw4269	0.9998978268065946	0.06919363296386724
crossing	draw4269	0.9999935386526184	0.06741954455050933
stable	draw583	0.2285342603737577	-6.560954962062442
stable	draw583	0.2315123898368911	-6.522820519660303
stable	draw583	0.234010733930724	-6.490958126093972
stable	draw583	0.2395441597658675	-6.4208040620773295
stable	draw583	0.2441528077827214	-6.362810336339719
stable	draw583	0.24527825309995996	-6.348708059717185
stable	draw583	0.2509501828074003	-6.277993486443942
stable	draw583	0.2569189030016313	-6.204219408969813
stable	draw583	0.25730370768318894	-6.199485638550017
stable	draw583	0.26275425135094205	-6.1327255132131855
stable	draw583	0.2688618465392287	-6.058561183287416
stable	draw583	0.270967626258761	-6.033147750395036
stable	draw583	0.2749571911822624	-5.985219839671505
stable	draw583	0.28119850693403353	-5.910815801133655
stable	draw583	0.285145300246908	-5.864125529593606
stable	draw583	0.2875586735785153	-5.835712443065191
stable	draw583	0.29392781123937745	-5.761224275771222
stable	draw583	0.29983555538120754	-5.692773123066267
stable	draw583	0.30055716296951207	-5.684454166463437
stable	draw583	0.3070474695159604	-5.6100413577247235
stable	draw583	0.31386029805921034	-5.5327202765230235
stable	draw583	0.3150352056752655	-5.519467177085724
stable	draw583	0.320553934379753	-5.4575337540866755
stable	draw583	0.3274831451645855	-5.380511229746116
stable	draw583	0.3307389642517992	-5.344603527056757
stable	draw583	0.3344423682769649	-5.303978112606184
stable	draw583	0.3414793188401528	-5.227422106265403
stable	draw583	0.34693936658246344	-5.168593410399574
stable	draw583	0.34870661888176113	-5.149658795921187
stable	draw583	0.35584189767929364	-5.0737366919420515
stable	draw583	0.36331523917227526	-4.995116109159455
stable	draw583	0.36362670654969664	-4.991859264608178
stable	draw583	0.37056264199850514	-4.919742644886862
stable	draw583	0.37812500348713785	-4.841998524415595
stable	draw583	0.38078898521732224	-4.814830190455976
stable	draw583	0.3856319911482058	-4.76572895246798
stable	draw583	0.3932719435711592	-4.689025328500335
stable	draw583	0.3984118716207896	-4.637937176597493
stable	draw583	0.40103906868518613	-4.611983321425815
stable	draw583	0.40874446032691675	-4.536478701169227
stable	draw583	0.4164786742822797	-4.461608195511513
stable	draw583	0.41677169481839244	-4.458789550352313
stable	draw583	0.42452968102293737	-4.3846355732301525
stable	draw583	0.4326331244741417	-4.3081436998858464
stable	draw583	0.43497032154854093	-4.286263290957194
stable	draw583	0.44061348258113747	-4.233765128284498
stable	draw583	0.4487543587037923	-4.1588514478690755
stable	draw583	0.45386534827210956	-4.112309783097965
stable	draw583	0.45698051989421934	-4.084126415761849
stable	draw583	0.46514415609713033	-4.0109242580205935
stable	draw583	0.47313988584410066	-3.940137718603068
stable	draw583	0.4736142578767956	-3.9359661239193877
stable	draw583	0.4817854022500036	-3.8645980988263555
stable	draw583	0.4903004796633812	-3.7911989843094074
