tr_max	tr_at_low_j	det_at_low_j	j_lo	j_hi	j_crit	n_points	n_cross	u_at_trmax	a_at_trmax	det_at_trmax	j_at_trmax	G_absmax	j_at_first_cross	det_at_first_cross	at_u_edge	at_a_edge	fold_is_j_max	lowj_at_floor	lowj_at_ceiling	frac_of_path	n_proj_fail	path_count	name	traced
-0.7635800247301274	-2.2172264800782697	0.8973461860797245	0.0164349656414291	0.40828070773713326	0.4083990513328104	182	0	1.1836632308266788	0.21162550580166223	0.03152837857181876	0.40178247201017736	1.682681771697503e-16			0	1	1	1	0	0.8878048780487805	0	1	draw2	True
-0.7808284251386076	-0.7808284251386076	0.06692330414734633	6.777210950546824e-05	0.10187360225393045	0.10188438153995075	249	0	9.999999999994291e-05	2.9872175102960293e-06	0.06692330414734633	6.777210950546824e-05	6.418476861114186e-17			1	0	1	1	0	0.9154411764705882	0	1	draw5	True
-0.6073420567166147	-0.6523969653577923	0.028489898223416976	0.001558099800565157	0.10306419055458048	0.10308731700635422	199	0	0.16925132254381933	0.03615201781491387	0.0016407647019457603	0.10271861129545841	1.0842021724855044e-18			0	1	1	1	0	0.868995633187773	0	1	draw7	True
-0.7020540347308076	-0.867467253559527	0.14941187282118726	0.004294081268181939	0.4315320019648526	0.4318256638719201	199	0	0.5791087666702913	0.14805419579997695	0.1013774457126357	0.3213480999637521	5.551115123125783e-17			0	1	1	1	0	0.9004524886877828	0	1	draw10	True
-0.25397670986906073	-0.8733247343188381	0.15465711196466495	0.006443831280110134	0.08241214757450069	0.08242585669371749	169	0	0.38563847962077047	0.02612702912484097	0.0009598104186034608	0.08241214757450069	4.4655576979246714e-18			0	1	1	1	0	0.8666666666666667	0	1	draw13	True
-0.4706060710429303	-1.0298586421422224	0.0845113438172624	0.03023565686882739	0.5922195836011488	0.5922457411953886	180	0	0.773654807770885	0.28579814717194457	0.02185646968355048	0.5537884668495598	6.245004513516506e-17			0	1	1	1	0	0.9045226130653267	0	1	draw19	True
-0.9042586205437368	-2.200404645260498	1.1603049401470467	0.057468655462324394	0.8778776035841587	0.8780411718253743	176	0	1.2246631415905886	0.1509620695393399	0.009703029205800786	0.8778776035841587	3.469446951953614e-17			0	1	1	1	0	0.8888888888888888	0	1	draw21	True
-0.3424440278508079	-3.030775007361839	2.005445440349808	0.13927215502208404	0.9097975009872501	0.9098063384277963	155	0	1.0084947185395565	0.04199692188768843	0.0037740439371241235	0.9097975009872501	1.0408340855860843e-16			0	1	1	1	0	0.856353591160221	0	1	draw22	True
-3.107463719291527	-4.4208976694972115	3.690071867746336	0.00345721574311828	1.8805914197414517	1.8814889603192166	228	0	0.7401611140323079	0.3595083750727176	0.6149900765905693	1.7898176771294358	3.209238430557093e-16			0	1	1	1	0	0.9047619047619048	0	1	draw23	True
-2.135443084291016	-7.3771678673277465	0.8246350841403055	2.7375223650907285	6.150832680735119	6.150914914952046	142	0	0.9931936670991836	0.036309309691643615	0.0011241609201789226	6.150832680735119	2.3852447794681098e-18			0	1	1	1	0	0.8658536585365854	0	1	draw28	True
-0.12704328610402077	-1.4165019585211125	0.4824307515720822	0.1342342576469639	0.4894876330744881	0.48955038969960135	168	0	3.5188745380516537	0.08072407693621957	0.0004068394069590744	0.4894876330744881	1.0855574252011113e-17			0	1	1	1	0	0.8795811518324608	0	1	draw30	True
-0.052010251253011175	-2.993535640248102	1.9081578299149602	0.0881977013228298	1.413867964390511	1.414738937284222	184	0	3.32224237458096	1.108445657393361	0.061274138397185374	1.3569853083728458	3.3306690738754696e-16			0	1	1	1	0	0.8214285714285714	0	1	draw34	True
-0.1720519577666953	-0.595622848435403	0.07981551839147347	0.03382939220690857	0.6433452967691277	0.6434356457342566	169	0	1.6174586506463053	0.3924135295616082	0.00021421082899140875	0.6433452967691277	9.486769009248164e-18			0	1	1	1	0	0.8894736842105263	0	1	draw37	True
-0.26053172582742196	-0.48072191999700864	0.04106459085787261	0.019216371907174398	0.36621775038265997	0.36625062880765574	171	0	1.0652799072169161	0.06952765021149378	0.00025906783588885166	0.36621775038265997	2.6020852139652106e-18			0	1	1	1	0	0.8769230769230769	0	1	draw39	True
-1.2420875404532439	-1.4616398988529555	0.18034384393284472	0.010176235154266737	0.5675167169344499	0.5676213243646946	192	0	0.4216205335874429	0.10578609066943309	0.021640146877706705	0.541691514975548	1.734723475976807e-17			0	1	1	1	0	0.8930232558139535	0	1	draw42	True
-0.16356081937406436	-0.9485945479208523	0.10692409976364207	0.5026886510313285	0.8210603310118181	0.8210637857679101	137	0	1.243521500686477	0.012487861854904	5.615346110923447e-05	0.8210603310118181	5.963111948670274e-19			0	1	1	1	0	0.8404907975460123	0	1	draw44	True
-0.3368481551337035	-0.38177933594685864	0.008112264759260834	0.0007676267346234045	0.04510343487606566	0.045112590315857036	199	0	0.12874372498049613	0.03717759789476292	0.00023591889007380405	0.04498292438601764	5.421010862427522e-19			0	1	1	1	0	0.8766519823788547	0	1	draw45	True
-0.16279002658588448	-2.423864340709456	0.9977402059841891	0.6957500452035467	0.8859622525062131	0.8859748028074639	139	0	2.1306184272099906	0.026891594389980573	0.0003220396423961607	0.8859622525062131	4.992412191116846e-18			0	1	1	1	0	0.852760736196319	0	1	draw47	True
-0.2613271850973911	-0.8361731396233806	0.11099684053415651	0.00644863486299637	0.39759861330409263	0.3976027359498356	189	0	4.140426057419713	0.2257621988907792	0.00022623054151626334	0.39759861330409263	3.9898639947466563e-17			0	1	1	1	0	0.8957345971563981	0	1	draw48	True
-1.7067675201756038	-1.8184411834954106	0.09106751379972322	0.08875942103543435	0.22320498824421625	0.22320498922575924	139	0	0.1270861667077367	0.00288654515961147	0.0001999759129862454	0.22318751931193415	8.131516293641283e-20			0	1	1	1	0	0.8373493975903614	0	1	draw50	True
-1.6515316241885256	-5.357188289255838	7.1491258786213585	1.5192028773222934	2.127708104296918	2.1277084192707916	151	0	1.7951403831297297	0.0985653746064676	0.0007670911383173232	2.127708104296918	1.359691168250493e-16			0	1	1	1	0	0.8728323699421965	0	1	draw54	True
-1.082819163192902	-1.223968842991012	0.09695119998102239	0.002215405795761549	0.09979748330790725	0.09979822129996091	199	0	0.0937615622145005	0.0585660137073033	0.0001814431841264514	0.09979748330790725	6.505213034913027e-19			0	1	1	1	0	0.8805309734513275	0	1	draw59	True
-0.092088256390454	-2.3852883568993057	0.18263234070006573	0.8396541248525542	1.6988673311762328	1.6989456652052441	150	0	1.694892443225185	0.08528122657761739	0.00022713034446785675	1.6988673311762328	1.883801274693564e-18			0	1	1	1	0	0.847457627118644	0	1	draw64	True
