n_singular	n_points	tr_max	tr_at_fold	tr_crossings	j_max_on_branch	det_min_on_branch	path_count	name	traced
1	211	-0.3513102106580722	-0.3495558161482226	0	0.2348302461361179	0.0028041986442650475	1	nu=0.01,chi=0.1	True
1	211	-0.3473480321427364	-0.34523417553712504	0	0.22617745966347846	0.0023936941778598887	1	nu=0.01,chi=0.167	True
1	211	-0.34346994186505414	-0.3409944338141101	0	0.2176467277039199	0.0020271172607579237	1	nu=0.01,chi=0.233	True
1	211	-0.3396830811976777	-0.336857497154644	0	0.20925648088090595	0.001691091866319686	1	nu=0.01,chi=0.3	True
1	211	-0.33597179342248584	-0.33597179342248584	0	0.20102544703897796	0.0013651654257587596	1	nu=0.01,chi=0.367	True
1	211	-0.33231704509913357	-0.33231704509913357	0	0.1929701558420484	0.0010414130260463666	1	nu=0.01,chi=0.433	True
1	211	-0.32883317488933156	-0.32883317488933156	0	0.18510122878211874	0.0007974126762941759	1	nu=0.01,chi=0.5	True
1	211	-0.3253146820490355	-0.3253146820490355	0	0.17743647011480523	0.0005189400721935086	1	nu=0.01,chi=0.567	True
1	212	-0.32184220847255096	-0.32184220847255096	0	0.16998086826407965	0.00027047530483846464	1	nu=0.01,chi=0.633	True
1	211	-0.31847681565887775	-0.31847681565887775	0	0.1627315312236891	8.173612973681857e-05	1	nu=0.01,chi=0.7	True
1	210	-0.32005457765321565	-0.31503053755092697	0	0.15555172607947534	0.0018137508915626896	1	nu=0.01,chi=0.767	True
1	210	-0.31661428716768253	-0.31156822571236475	0	0.14874780107228905	0.001553661464062013	1	nu=0.01,chi=0.833	True
1	210	-0.3129942694921179	-0.3079636557255017	0	0.14214791666391707	0.0012771676809260524	1	nu=0.01,chi=0.9	True
1	211	-0.3513342556406428	-0.34958221015075447	0	0.23480631458155624	0.0028071225762783965	1	nu=0.01373,chi=0.1	True
1	211	-0.3473948320938329	-0.3452800444229761	0	0.22613528482766762	0.0024083000493787753	1	nu=0.01373,chi=0.167	True
1	211	-0.34352938065811983	-0.3410554172011477	0	0.21758621359675429	0.0020414965957746716	1	nu=0.01373,chi=0.233	True
1	211	-0.3396687812513708	-0.3368805084106948	0	0.20918171933271648	0.0016328379220633459	1	nu=0.01373,chi=0.3	True
1	211	-0.3360357842767586	-0.3360357842767586	0	0.20092465918376626	0.0013681243035717897	1	nu=0.01373,chi=0.367	True
1	211	-0.33240392976523475	-0.33240392976523475	0	0.1928457218381051	0.0010558941261200288	1	nu=0.01373,chi=0.433	True
1	211	-0.3288659546214717	-0.3288659546214717	0	0.18495378556446823	0.0007776440308894512	1	nu=0.01373,chi=0.5	True
1	212	-0.3253774552336313	-0.3253774552336313	0	0.17726186761303644	0.0005158792433913685	1	nu=0.01373,chi=0.567	True
1	212	-0.3218771886070877	-0.3218771886070877	0	0.16977847914910243	0.00025419163314801646	1	nu=0.01373,chi=0.633	True
1	211	-0.31852473606317727	-0.31852473606317727	0	0.16249821386411092	7.14651315379747e-05	1	nu=0.01373,chi=0.7	True
1	210	-0.32006366943972986	-0.3150617598702799	0	0.15528991820008745	0.0017959131790278148	1	nu=0.01373,chi=0.767	True
1	210	-0.31662393062243366	-0.3116001375285894	0	0.14845351966022782	0.0015368956545400696	1	nu=0.01373,chi=0.833	True
1	210	-0.3130846041259443	-0.308070053231801	0	0.14181717843620192	0.001288615549933554	1	nu=0.01373,chi=0.9	True
1	211	-0.3513649440967227	-0.3496176265223538	0	0.23477389967289286	0.002808047993776004	1	nu=0.01884,chi=0.1	True
1	211	-0.34745025397572527	-0.34533910584877114	0	0.22607856238666335	0.002418168646337493	1	nu=0.01884,chi=0.167	True
1	211	-0.34358868157323563	-0.3411272712153506	0	0.21750537647421855	0.002039211781822041	1	nu=0.01884,chi=0.233	True
1	211	-0.3398110286583925	-0.33700953211487705	0	0.20906903974693292	0.001692095932842285	1	nu=0.01884,chi=0.3	True
1	211	-0.3360994392679459	-0.3360994392679459	0	0.20078813424387032	0.0013544940291606424	1	nu=0.01884,chi=0.367	True
1	211	-0.33245889879821167	-0.33245889879821167	0	0.1926780359832093	0.0010342221906680005	1	nu=0.01884,chi=0.433	True
1	211	-0.3289884976567089	-0.3289884976567089	0	0.18475038351580142	0.0007953282611711298	1	nu=0.01884,chi=0.5	True
1	212	-0.3255005089792233	-0.3255005089792233	0	0.1770227921035448	0.0005310734876924558	1	nu=0.01884,chi=0.567	True
1	212	-0.32199707924414206	-0.32199707924414206	0	0.16950152230226884	0.00026620543141698177	1	nu=0.01884,chi=0.633	True
1	211	-0.3186391274076968	-0.3186391274076968	0	0.16217952960264623	7.891976168734654e-05	1	nu=0.01884,chi=0.7	True
1	210	-0.3201897670950927	-0.31520638057360734	0	0.15492675984053114	0.0018133478400672639	1	nu=0.01884,chi=0.767	True
1	210	-0.3167223203929487	-0.3117211789866279	0	0.14804803448864645	0.0015440294299091698	1	nu=0.01884,chi=0.833	True
1	210	-0.3132436639120526	-0.3082480901978628	0	0.14136426719001013	0.0013165254181340378	1	nu=0.01884,chi=0.9	True
1	211	-0.3513937273832097	-0.34966213832668647	0	0.23473151046528345	0.0027905609195167783	1	nu=0.02586,chi=0.1	True
1	211	-0.3475037270261411	-0.34541039615687874	0	0.22600359606623138	0.0024052530838116182	1	nu=0.02586,chi=0.167	True
1	211	-0.3436602224973496	-0.34122048592703413	0	0.2173958669873196	0.0020265864946141655	1	nu=0.02586,chi=0.233	True
