n	c0	c1	abs_c1	tr_J	det_J	lambda_zero_abs	min_abs_re_rest	max_abs_im_rest	eigs	draw	regime
3	-4.8236005592089556e-11	14.395237413657826	14.395237413657826	-17.49666587817214	4.8236005592089556e-11	3.3515412667384226e-12	0.8655611042944052	0.0	[[3.3515412667384226e-12, 0.0], [-0.8655611042944052, 0.0], [-16.631104773881084, 0.0]]	1	regulated
3	-1.2829414392600202e-10	25.603381107808758	25.603381107808758	-17.87342070540497	1.2829414392600202e-10	5.011546733157957e-12	1.570475845153239	0.0	[[5.011546733157957e-12, 0.0], [-1.570475845153239, 0.0], [-16.30294486025674, 0.0]]	1	regulated_strong
3	-6.441477193657708e-13	0.5094045541423445	0.5094045541423445	-1.479568143754408	6.441477193657708e-13	1.2646550473505158e-12	0.5451667066199134	0.0	[[1.2646550473505158e-12, 0.0], [-0.5451667066199134, 0.0], [-0.9344014371357597, 0.0]]	4	regulated
3	8.176928319644989e-13	0.9347417150815042	0.9347417150815042	-2.2327994085240137	-8.176928319644989e-13	8.747524054222977e-13	0.5581823768739577	0.0	[[-8.747524054222977e-13, 0.0], [-0.5581823768739577, 0.0], [-1.674617031649183, 0.0]]	4	regulated_strong
3	-2.388556224812338e-13	0.0716885494296761	0.0716885494296761	-0.987052799170551	2.388556224812338e-13	3.331833229261318e-12	0.07894256288285026	0.0	[[3.331833229261318e-12, 0.0], [-0.07894256288285026, 0.0], [-0.9081102362910327, 0.0]]	5	regulated
3	1.3129593869485585e-12	0.13178281150923052	0.13178281150923052	-1.9426162451845745	-1.3129593869485585e-12	9.963040705760699e-12	0.0703882274167083	0.0	[[-9.963040705760699e-12, 0.0], [-0.0703882274167083, 0.0], [-1.8722280177579032, 0.0]]	5	regulated_strong
3	-2.963754972431324e-13	0.44936716601678	0.44936716601678	-1.3730773560159748	2.963754972431324e-13	6.595142990037551e-13	0.5383219772498596	0.0	[[6.595142990037551e-13, 0.0], [-0.5383219772498596, 0.0], [-0.8347553787667755, 0.0]]	7	regulated
3	2.37394805684868e-12	7.048147460710736	7.048147460710736	-8.955313418140985	-2.37394805684868e-12	3.36952687973735e-13	0.8719304100322556	0.0	[[-3.36952687973735e-13, 0.0], [-0.8719304100322556, 0.0], [-8.083383008108386, 0.0]]	8	regulated
3	2.1923842468478992e-11	11.560848529323918	11.560848529323918	-9.306118460852465	-2.1923842468478992e-11	1.8964829706646924e-12	1.476565617565396	0.0	[[-1.8964829706646924e-12, 0.0], [-1.476565617565396, 0.0], [-7.829552843285174, 0.0]]	8	regulated_strong
3	6.556594677607739e-14	0.3625560202793067	0.3625560202793067	-1.5852110719919756	-6.556594677607739e-14	1.80742356845065e-13	0.27717608843558994	0.0	[[-1.80742356845065e-13, 0.0], [-0.27717608843558994, 0.0], [-1.3080349835562037, 0.0]]	10	regulated_strong
