n	c0	c1	abs_c1	tr_J	det_J	lambda_zero_abs	min_abs_re_rest	max_abs_im_rest	eigs	draw	regime
3	-1.157364088412829e-11	1.2270081089556102	1.2270081089556102	-2.362758246606152	1.157364088412829e-11	9.43245481721533e-12	0.7707107363949567	0.0	[[9.43245481721533e-12, 0.0], [-0.7707107363949567, 0.0], [-1.5920475102206277, 0.0]]	11	regulated
3	4.1500839594290074e-12	2.176843648580075	2.176843648580075	-2.9592771783769094	-4.1500839594290074e-12	1.906474977886319e-12	1.3678946585319771	0.0	[[-1.906474977886319e-12, 0.0], [-1.3678946585319771, 0.0], [-1.5913825198430267, 0.0]]	11	regulated_strong
3	-3.284493799686299e-13	0.00961390579635305	0.00961390579635305	-0.6107149275090479	3.284493799686299e-13	3.416392955151309e-11	0.016170197689902133	0.0	[[3.416392955151309e-11, 0.0], [-0.016170197689902133, 0.0], [-0.5945447298533094, 0.0]]	12	regulated
3	4.849433764930655e-11	52.79467268936643	52.79467268936643	-33.54912706294063	-4.849433764930655e-11	9.192646643896296e-13	1.6553271426179745	0.0	[[-9.192646643896296e-13, 0.0], [-1.6553271426179745, 0.0], [-31.893799920321726, 0.0]]	12	regulated_strong
3	-4.435054925121157e-11	-1.1774060020971713	1.1774060020971713	0.7068990648951181	4.435054925121157e-11	3.76680665825635e-11	0.7877483355964838	0.0	[[-3.76680665825635e-11, 0.0], [-0.7877483355964838, 0.0], [1.4946474005292711, 0.0]]	13	regulated
3	4.184177330929541e-11	-2.096857033742049	2.096857033742049	0.07475842594309223	-4.184177330929541e-11	1.995409393273917e-11	1.411155991755654	0.0	[[1.995409393273917e-11, 0.0], [-1.411155991755654, 0.0], [1.485914417678793, 0.0]]	13	regulated_strong
3	8.384552636150957e-12	1.815297809187218	1.815297809187218	-3.21986535742707	-8.384552636150957e-12	4.6188718004252556e-12	0.7286918371645142	0.0	[[-4.6188718004252556e-12, 0.0], [-0.7286918371645142, 0.0], [-2.491173520257937, 0.0]]	16	regulated
3	2.7422992529497666e-12	0.5388648883998514	0.5388648883998514	-1.4808270463348032	-2.7422992529497666e-12	5.08892927797433e-12	0.6437321035792869	0.0	[[-5.08892927797433e-12, 0.0], [-0.6437321035792869, 0.0], [-0.8370949427504268, 0.0]]	17	regulated
3	6.089762168301058e-13	0.9586869760716263	0.9586869760716263	-2.120194859430855	-6.089762168301058e-13	6.351030812368208e-13	0.6537483379008139	0.0	[[-6.351030812368208e-13, 0.0], [-0.6537483379008139, 0.0], [-1.4664465215294058, 0.0]]	17	regulated_strong
3	2.86804336553475e-13	0.7257909399367535	0.7257909399367535	-1.7041757945384661	-2.86804336553475e-13	3.9535041906901824e-13	0.8358754102208873	0.0	[[-3.9535041906901824e-13, 0.0], [-0.8358754102208873, 0.0], [-0.8683003843171819, 0.0]]	18	regulated
3	2.9099119273303027e-12	1.2247032436096221	1.2247032436096221	-2.3701502160687724	-2.9099119273303027e-12	2.3762103396052225e-12	0.7611650137019754	0.0	[[-2.3762103396052225e-12, 0.0], [-0.7611650137019754, 0.0], [-1.6089852023644218, 0.0]]	18	regulated_strong
3	6.334186902447911e-14	0.23333916687338158	0.23333916687338158	-1.100189874983677	-6.334186902447911e-14	2.7144952952085077e-13	0.2869119718937798	0.0	[[-2.7144952952085077e-13, 0.0], [-0.2869119718937798, 0.0], [-0.8132779030896256, 0.0]]	20	regulated
3	3.340994467940912e-13	0.4181573389475811	0.4181573389475811	-1.7459732127905752	-3.340994467940912e-13	7.988536048362849e-13	0.28651557045306336	0.0	[[-7.988536048362849e-13, 0.0], [-0.28651557045306336, 0.0], [-1.459457642336714, 0.0]]	20	regulated_strong
3	-2.8996464941705392e-12	1.0180878419740573	1.0180878419740573	-2.0553212278223416	2.8996464941705392e-12	2.848277169675839e-12	0.8327285862534642	0.0	[[2.848277169675839e-12, 0.0], [-0.8327285862534642, 0.0], [-1.2225926415717248, 0.0]]	24	regulated
3	-3.863927157328029e-12	1.7939239958627478	1.7939239958627478	-2.693201980314927	3.863927157328029e-12	2.1540547123777287e-12	1.2072803856974155	0.0	[[2.1540547123777287e-12, 0.0], [-1.2072803856974155, 0.0], [-1.4859215946196673, 0.0]]	24	regulated_strong
3	5.671305833714043e-13	0.3932561830126571	0.3932561830126571	-2.0905912826378126	-5.671305833714043e-13	1.4418846107816871e-12	0.20900215530436164	0.0	[[-1.4418846107816871e-12, 0.0], [-0.20900215530436164, 0.0], [-1.8815891273320091, 0.0]]	25	regulated_strong
3	1.1307051195671999e-11	1.0391743566175122	1.0391743566175122	-1.9265675928902284	-1.1307051195671999e-11	1.0880079895062859e-11	0.9632837964396728	0.33355461938536923	[[-1.0880079895062859e-11, 0.0], [-0.9632837964396728, 0.33355461938536923], [-0.9632837964396728, -0.33355461938536923]]	26	regulated
3	-2.489061986336619e-11	2.004019896046823	2.004019896046823	-2.6774378794791	2.489061986336619e-11	1.2419917440691531e-11	1.33871893974576	0.4602732845235162	[[1.2419917440691531e-11, 0.0], [-1.33871893974576, 0.4602732845235162], [-1.33871893974576, -0.4602732845235162]]	26	regulated_strong
