u	a	uf	af	G_af	G_u	p_uf	p_af	p_cf	p_df	duf_du	daf_du	dcf_du	ddf_du	chain_sum	name	population
0.3151700679326804	4.096362271876506	0.21957208014655852	3.6385065443918414	0.1340647929334473	2.41947353379779	2.1690203982462113	0.020303972554711686	0.18219745297307832	0.04795171018651213	0.7211320185401376	0.1514489532295852	-0.03575312874823929	-0.060751545103519856	2.4194735339605136	draw2	kinetic_box
0.36095271897108755	2.0329144261966277	0.24447058096701538	1.8482767694028757	-0.05303141401021066	1.337700813094922	1.327872786303563	-0.0065878884014840535	0.015229619765657792	0.0011862954341221095	0.7650800846619228	0.12422615018742708	-0.013672508325978328	-0.07909852733158862	1.337700813101859	draw5	kinetic_box
0.19726427265797905	0.030119095223851772	0.009483301372168703	0.0040923540335491984	-0.06842293539426925	0.01971903995679356	0.016328420648265077	-0.0005452742311818843	2.1403350092064324e-06	0.003933753204325883	0.06837991467290881	0.007969173319441563	-0.0025296723841031154	-0.9174789703943759	0.019719039956418282	draw7	kinetic_box
0.17880105163734947	0.03206891194206348	0.049247820173431545	0.0033691738633267127	-0.23324419170420885	0.01381568143738245	0.013121486775061126	-0.00030138257067909057	0.0009688310177523476	2.6746214615224885e-05	0.312064067688683	0.0012921332294580444	-0.3315786575740236	-0.17581796902544178	0.013815681436749608	draw10	kinetic_box
0.11050612185388893	0.016990952328551422	0.06541810365313627	0.009488261584278755	0.5738239274221215	0.21549255687492005	0.20512095657055227	0.001399697519915252	0.0010801636050888717	0.007891739192347138	0.6133471556921127	0.0024392456518906955	-0.03236526617822175	-0.3368170776484563	0.21549255688790353	draw11	kinetic_box
0.2737978329682316	0.013608388076463031	0.1387877576431621	0.0011331843460187128	-0.2825463415004932	0.027894808159636898	0.027365089261415378	-4.979106533483483e-05	0.0005777298406824258	1.7801216918174674e-06	0.5791718974353486	0.0001762226510186398	-0.0512577167195763	-0.3685335453796601	0.027894808158454784	draw13	kinetic_box
0.022822244844907538	2.640879778948436	0.003354977602939862	2.350223354861312	0.09629327281773678	12.602248895489488	12.111863882986073	0.014596017216071674	0.00012047912002725172	0.475668517536487	0.15215996037614288	0.15157878415555479	-0.002727086785747537	-0.6866207497375629	12.60224889685866	draw14	kinetic_box
0.7270583039705055	0.02908055906754205	0.17370828133225652	0.024224741349932806	-0.0003832559266349926	0.0038233542757999455	0.0034020293248336773	-2.752516203253177e-06	6.882163767744837e-05	0.00035525582961388764	0.8068522359870285	0.0071819273022609605	-0.04458019216164529	-0.14033856852488014	0.00382335427592176	draw17	kinetic_box
0.7693079821672811	0.49706782689101586	0.23591254356137595	0.33985958972007696	-0.0376508796321049	0.18941192380079	0.18207672379175407	-0.001261087759307583	0.0065239986705211035	0.0020722891023809667	0.740225260529543	0.03349424426812737	-0.1959977553546492	-0.023024139448134678	0.18941192380534858	draw19	kinetic_box
0.44618880578516323	0.009185227867768384	0.13384825575888756	0.0011902108245102374	-1.010554603826714	0.010432576059794026	0.009894498464144988	-0.0013950653754779	4.6824795162763106e-05	0.001886318175824972	0.40616009684536764	0.001380494799781369	-0.3682268158316397	-0.2147599086276064	0.010432576059654823	draw21	kinetic_box
0.9119746094762164	0.1914059911679335	0.3774438635440189	0.16101789282233955	-1.8098609947374293	1.7790476145113174	1.706580904599015	-0.012553207572159665	0.05709621162056256	0.02792370590628688	0.7635703217530161	0.0069360064715803535	-0.02524982735050651	-0.19603560763967662	1.7790476145537049	draw23	kinetic_box
0.15451950287724703	0.9475118994866941	0.1337564523886045	0.6015853099648423	0.6906968130629157	3.721398080567745	3.6312119670226184	0.02539302316971465	0.0003132677782226764	0.0644798226922004	0.8685661297171234	0.0367643554877697	-0.01684233572936281	-0.038523601210482865	3.7213980806627562	draw25	kinetic_box
0.10466310330314939	0.6922841701492192	0.06013912242982041	0.5460180411672096	0.2786067849727509	2.4901504867496063	2.4457999485412896	0.005982423105934425	0.0048925433006960384	0.03347557212935251	0.5892402855052539	0.021472639679322725	-0.03813375918862616	-0.0330638691483949	2.490150487077272	draw26	kinetic_box
