u	a	grad_G	grad_R	tr_J	det_J	sv_ratio	transversality	d2R_ds2	d2R_signed	name	ok
0.495822847801	0.370221602013	0.2738139826023532	0.13628994218834242	-0.34979017298413023	8.015393420714337e-05	0.00032963572030082923	0.5552777617863093	0.37149501704240945	-0.37149501704240945	nu=0.01,chi=0.1	True
0.494651533791	0.35429173295	0.2583621587744619	0.13943077430568293	-0.345677823096175	5.817300191433608e-05	0.00025855803595930665	0.5446871788028671	0.3825831346746333	-0.3825831346746333	nu=0.01,chi=0.167	True
0.493194664603	0.337299333687	0.2425536566592762	0.14264671407309698	-0.3417119858586084	6.059539445535756e-05	0.0002924326152601894	0.5328449757237452	0.39817616228896435	-0.39817616228896435	nu=0.01,chi=0.233	True
0.491301136415	0.319540633291	0.22658325986791994	0.1459476570265716	-0.33791562009839793	7.057890470926782e-05	0.0003712352510932903	0.5196547326076685	0.4191916293528003	-0.4191916293528003	nu=0.01,chi=0.3	True
0.488807669455	0.301466090152	0.21072570889392234	0.14933822644161987	-0.3342831368292296	6.40776442759365e-05	0.0003681539763709608	0.5051018007539966	0.44623010406784974	-0.44623010406784974	nu=0.01,chi=0.367	True
0.485589538551	0.283424473386	0.19520826164489083	0.15284691004172238	-0.3307958306996669	3.2734958145117014e-05	0.0002055588113834779	0.4891705678800619	0.47993489904300546	-0.47993489904300546	nu=0.01,chi=0.433	True
0.481601821451	0.264741889973	0.17979728397110406	0.15665925793622365	-0.3275708757105604	6.749550895276524e-05	0.0004637914312217618	0.47131025064372467	0.5254127613549171	-0.5254127613549171	nu=0.01,chi=0.5	True
0.476662689767	0.247103197754	0.16532142349872853	0.16064606820457872	-0.3243870247714005	3.849967631850706e-05	0.00028820162095017173	0.45232306760215685	0.5785635655737937	-0.5785635655737937	nu=0.01,chi=0.567	True
0.470774219069	0.22997998965	0.15159108999164478	0.16498463110741116	-0.32131798403172335	2.218140698289142e-05	0.0001800438556543577	0.431885130869238	0.6432569863992346	-0.6432569863992346	nu=0.01,chi=0.633	True
0.463889061466	0.213303304877	0.1386270408202877	0.1697983125894825	-0.3183962994602895	4.948709358320213e-05	0.0004327931256408629	0.4099604435213251	0.7224764032286504	-0.7224764032286504	nu=0.01,chi=0.7	True
0.456081130782	0.198060976006	0.12682700078424342	0.174991436831897	-0.31540319789754956	3.90632290319592e-05	0.0003644659174576759	0.3873967295754965	0.8104195032419228	-0.8104195032419228	nu=0.01,chi=0.767	True
0.447377113271	0.183830940978	0.11599962242913038	0.18069172843669362	-0.3124182013261465	4.146380816849543e-05	0.00040858461005662103	0.36413527065421486	0.909840239184	-0.909840239184	nu=0.01,chi=0.833	True
0.437947457207	0.171133231207	0.10626049011928243	0.18679630522220242	-0.30927948461651783	2.26320348947429e-06	2.329031785514649e-05	0.34087701615701405	1.0140569260729597	-1.0140569260729597	nu=0.01,chi=0.9	True
0.495739133445	0.370249141561	0.2738305175071537	0.13630355568221114	-0.349815958789593	8.24940624625852e-05	0.0003392124624287207	0.5552727299986663	0.3715409841944358	-0.3715409841944358	nu=0.01373,chi=0.1	True
0.494530467267	0.354225309176	0.2583351659491761	0.13946641758145725	-0.3457247128598431	7.359884038258249e-05	0.0003271306979592171	0.5446388760711895	0.3828075663445235	-0.3828075663445235	nu=0.01373,chi=0.167	True
0.493008487417	0.3372765605	0.24254975575886328	0.14269003599368602	-0.34177298900834086	7.515091133665212e-05	0.0003626276344536359	0.5327998479868733	0.39839999116791996	-0.39839999116791996	nu=0.01373,chi=0.233	True
0.490926798503	0.320443348429	0.227020813210719	0.14589394773191938	-0.3379121369900502	1.8779213216661936e-08	9.852482720871614e-08	0.5199957804763207	0.7683282010696718	-0.7683282010696718	nu=0.01373,chi=0.3	True
0.488475452431	0.301663087375	0.21082843630561807	0.14937927698653372	-0.33435023238559586	6.450449281349158e-05	0.0003702939574258299	0.5051349648296942	0.4458300503598542	-0.4458300503598542	nu=0.01373,chi=0.367	True
0.485208629002	0.283513984381	0.19526128264664647	0.15291249981146016	-0.33088511174132407	4.62420830353435e-05	0.0002901885250089668	0.48914486939145885	0.47986737755510156	-0.47986737755510156	nu=0.01373,chi=0.433	True
0.481137076687	0.265276424543	0.18004831856525755	0.15667034353892625	-0.3276012939087418	4.136375211109463e-05	0.0002837082652287981	0.4715362002971872	0.5233705077247074	-0.5233705077247074	nu=0.01373,chi=0.5	True
0.47615240392	0.247448766094	0.16548312625000147	0.16068858403615346	-0.3244470723569992	3.1532811989057503e-05	0.00023571950340013436	0.45244946400811775	0.576958549097909	-0.576958549097909	nu=0.01373,chi=0.567	True
0.470213596555	0.230485046589	0.15181053688415488	0.1650008561783253	-0.32134439774346557	2.811516603172024e-09	2.2780830113368884e-08	0.4321319353115432	1.933474886917548	-1.933474886917548	nu=0.01373,chi=0.633	True
0.463274454885	0.213734593512	0.13880437320750036	0.16982223454842266	-0.31843009054642246	3.338327568999734e-05	0.0002915137623565468	0.4101739876497604	0.7195032440244118	-0.7195032440244118	nu=0.01373,chi=0.7	True
0.455419410869	0.198539605939	0.12700652255133169	0.17499705071712754	-0.3154149979368677	1.5942601149044227e-05	0.00014852875213053473	0.3876606090649253	0.806428631235733	-0.806428631235733	nu=0.01373,chi=0.767	True
0.446655424324	0.184261755537	0.11614451807399633	0.18069487620825697	-0.31242844618980903	2.0078972461034357e-05	0.00019762155098667099	0.3643720621952111	0.9053007472533925	-0.9053007472533925	nu=0.01373,chi=0.833	True
0.437093844288	0.171228119851	0.10628577329582665	0.1868679234535152	-0.3093758171987046	1.3945125367364388e-05	0.0001434156291725513	0.34084908500419175	1.0121931993452054	-1.0121931993452054	nu=0.01373,chi=0.9	True
0.495617854882	0.37032156987	0.27387013439377095	0.13631841026657704	-0.34984997441967375	8.207166130008202e-05	0.0003373834689361208	0.5552772836150306	0.3714376486426126	-0.3714376486426126	nu=0.01884,chi=0.1	True
