name	group	crossing_index	u	a	tr_at_cross	direction	dtr_dj	j_crit	l1	sign_stable	omega	det_J	j_eq	magnitude_spread
draw34	terminal	0	1.767475522048898	0.10066946955183084	7.482903185973555e-14	1.0	25.1394679940367	0.044444397612491235	-0.44294222396386174	True	0.08201978756209918	0.006727245551731884	0.03976783651992953	1.0105640221082037
draw122	terminal	0	0.5853284081528262	0.014436167482729346	2.6256774532384952e-14	1.0	42.48129253853574	0.3168357593157284	-24.75862557039344	True	0.8366151141719645	0.6999248492609693	0.2645723821880509	1.0019391845976324
draw273	window	0	1.4665486462460353	0.06984139417052596	-2.8976820942716586e-14	1.0	14.329252695579536	0.4687575071778409	-10.430615009665424	True	0.7974811371980354	0.6359761641866716	0.19720981809040777	1.0161563646934304
draw273	window	1	1.0388483209449306	0.6089113159491074	6.195044477408373e-14	-1.0	-4.880156209649994	0.4687575071778409	-0.005076623479705014	True	0.5412080980924892	0.29290620544088947	0.4160431420928935	1.0028562738977205
draw294	terminal	0	2.07933345588393	0.171922587695415	-5.5067062021407764e-14	1.0	28.85076398927259	1.7691860070176193	3.613337015276885	True	0.6170437292259552	0.3807429637770738	1.7599160948269503	1.0108931295032395
draw426	terminal	0	1.8053233704624356	0.2929766275065514	3.774758283725532e-15	1.0	67.67826371507185	0.1402076834447081	-0.899391547951624	True	0.44740765652379777	0.20017361111611623	0.11380069447842961	1.0041034694079858
draw455	window	0	0.8285947495766142	0.4141683918174918	4.551914400963142e-14	1.0	3.192452589171783	0.2874486887815737	-0.040280351272892444	True	0.2372539971272722	0.05628945915286768	0.30122509035561723	1.0001894847735253
draw455	window	1	0.4505779770832761	0.7693827849934747	-9.992007221626409e-15	-1.0	-9.89531662752264	0.2874486887815737	-0.7151391149335118	True	0.36085449876477976	0.13021596927878046	0.3585714810621419	1.000024352475028
draw517	terminal	0	0.8767233282627603	0.049606905242617697	-2.581268532253489e-14	1.0	40.95896849097556	0.6289835083193567	-25.16335666765298	True	0.689155156871698	0.47493483024285477	0.5573701961822496	1.0041202639477824
draw549	terminal	0	2.3642074866329987	0.12446845855716687	2.1678103756528344e-11	1.0	32.23443513788673	0.7790429844701616	17.651847848859745	True	0.81026716476311	0.6565328782932487	0.7573517060466314	1.0021695913952882
draw585	terminal	0	7.060115438002265	0.04523955483472315	-5.595099522581748e-10	1.0	19.890965826936775	0.5836601708123301	-1.9417101786368365	True	0.5187882946329059	0.2691412946481188	0.26838330721669384	1.022270004064432
draw592	terminal	0	0.9974298858200689	0.03959892707934289	9.239831122442865e-14	1.0	67.74224612034685	0.024605923847507837	-0.8400182911180407	True	0.07872804034196329	0.006198104336085794	0.02250664512215905	1.0060223265704344
draw626	window	0	1.0234154709049639	0.004862949026215842	-1.98633089143474e-11	1.0	56.992546771481976	0.09878369208759033	-73.9262431659178	True	0.3361616353218932	0.11300464506228951	0.10311935824562889	1.0019149244003471
draw634	terminal	0	0.9722671507113614	0.05540049740110932	5.773159728050814e-15	1.0	27.385607476181875	0.38210072320984667	-8.593019227759699	True	0.6503059317271889	0.4228978048395673	0.3467600700690296	1.0096323820669089
draw640	terminal	0	17.365886157325757	0.26771721863481823	3.512485441392599e-11	1.0	22.613781456448244	0.7372603030383432	0.8616100496334141	True	0.14694581365559048	0.02159307215090351	0.7275755054525388	1.0612236274723157
draw686	terminal	0	2.348170559804752	0.07319286065326827	-6.408762409648716e-14	1.0	50.17964201526368	0.1054182985128677	-0.0633629923547443	True	0.04894345806943719	0.002395462087794757	0.10430795861732994	1.5443498685922448
draw713	window	0	1.1522042153881862	0.025193060006389476	-1.0318135235110049e-14	1.0	20.696917325006538	0.287394367867151	-1.6279163324584658	True	0.0455455848806246	0.002074400302118181	0.03334418766678547	1.009894492536743
draw713	window	1	1.0478096610313148	0.14543503187718518	-1.1268763699945339e-14	-1.0	-3.4611276695415243	0.287394367867151	-0.12782877024724842	True	0.17334763733588848	0.03004940336993472	0.04463730160184689	1.0004654537857802
draw732	window	0	0.49797970376472855	0.8115335828615824	1.9984014443252818e-14	-1.0	-4.971790316224461	1.7314724494706941	-0.05071269017884736	True	2.3174127319058035	5.3704017699991216	1.1227222764591218	1.0063385514662115
draw814	terminal	0	2.997076309331332	0.35560139780530664	7.392350620527566e-14	1.0	14.001522517538499	0.0531421563494881	0.01713873341970147	True	0.017588665719940805	0.00030936116180782053	0.05225201142410593	1.0000576797160716
draw820	window	0	9.258590403977367	1.2193657257029882	2.6943725028871768e-14	1.0	33.62291188726816	0.18659947415547273	-0.009723237328168353	True	0.012338030506516816	0.00015222699677974	0.13896158396343525	1.0009383552581308
draw820	window	1	5.4365216908308485	4.888191252990446	-9.434120151752268e-14	-1.0	-1.9312939769753512	0.18659947415547273	-5.647233000622602e-05	True	0.02724731345296651	0.0007424160904042097	0.1657402078261122	1.0002163556176698
draw824	window	0	1.857535108173553	0.3773406193769695	-3.9126688000656884e-15	1.0	6.914227362134823	0.09588852443767515	-0.053563945882581426	True	0.01529989470636278	0.00023408677802578802	0.04769132039109049	1.0000618053809085
draw824	window	1	1.451705248303301	1.406561815327264	8.480716129355415e-14	-1.0	-1.1627614753145123	0.09588852443767515	-0.0008102588635153338	True	0.030635445965542664	0.0009385305495076837	0.06673089942135248	1.0002831850889824
draw834	terminal	0	0.25344260377808797	0.015183444224625545	-8.820721930646869e-14	1.0	222.86418094081424	0.05233602753441837	15.336868483901785	True	0.08698917253688684	0.007567116138652263	0.05210476308237151	1.0020844509308482
draw861	terminal	0	2.4666514713910352	0.25045313962706295	8.811007479181399e-14	1.0	20.319273738111686	0.1484107639572541	0.4681316466569564	True	0.009609737117154302	9.234704746081283e-05	0.14840409665255794	1.0045681476197614
draw878	window	0	1.023737422389206	0.00579760618414351	-1.8573528132170836e-11	1.0	34.58809743304381	0.185648479882848	-20.319107567040746	True	0.25909259930007345	0.0671289750120684	0.1915139560653803	1.0004652627461035
