name	ok	n_zeros	tr_at_fold	tr_at_branch_end	j_crit	j_H1	j_H2	j_last_cross	n_points	group	parity_ok	window_width
draw34	True	1	0.09706504489333481	0.09661468224550063	0.044444397612491235	0.039772406794421324		0.039772406794421324	179	terminal	True	
draw122	True	1	0.49338399864194915	0.5581115135021967	0.3168357593157284	0.2645911986380801		0.2645911986380801	173	terminal	True	
draw273	True	2	-0.5102428654877755	-0.4985743107542637	0.4687575071778409	0.19732079841886027	0.4159858222707543	0.4159858222707543	75	window	True	0.46647791342771
draw294	True	1	0.4109993401387998	0.40219411068009414	1.7691860070176193	1.7598733112537235		1.7598733112537235	198	terminal	True	
draw426	True	1	0.5888375009219753	0.6445176572675511	0.1402076834447081	0.11382685926362048		0.11382685926362048	177	terminal	True	
draw455	True	2	-0.07552226993867661	-0.16021843518944	0.2874486887815737	0.3012922058885715	0.3585469181413512	0.3585469181413512	31	window	True	0.19918237406289369
draw517	True	1	0.4117840265927095	0.46440665475529985	0.6289835083193567	0.5574224345707706		0.5574224345707706	200	terminal	True	
draw549	True	1	1.5030877769011712	1.3560319384550952	0.7790429844701616	0.7569853621167412		0.7569853621167412	193	terminal	True	
draw585	True	1	1.3365160455686214	1.4032826760305175	0.5836601708123301	0.2685487114233225		0.2685487114233225	168	terminal	True	
draw592	True	1	0.14884458759635277	0.14799121058382297	0.024605923847507837	0.02250696351691209		0.02250696351691209	176	terminal	True	
draw626	True	1	-0.6952238279822844	0.27053602777383323	0.09878369208759033	0.10313972402681118		0.10313972402681118	29	window	False	
draw634	True	1	0.08611149951307218	0.11506772105921692	0.38210072320984667	0.34677659955399726		0.34677659955399726	178	terminal	True	
draw640	True	1	0.3887881192275795	0.310534847267386	0.7372603030383432	0.7274856788379597		0.7274856788379597	62	terminal	True	
draw686	True	1	0.06605429951999366	0.06438546181392657	0.1054182985128677	0.10430796566394855		0.10430796566394855	179	terminal	True	
draw713	True	2	-1.2579721609628391	-1.2467075461069697	0.287394367867151	0.03334609029576323	0.044627261777987155	0.044627261777987155	163	window	True	0.03925327961694324
draw732	True	1	-7.159429889349788	-6.795739982622953	1.7314724494706941	1.1221555716036735		1.1221555716036735	43	window	False	
draw814	True	1	0.018757458624854322	0.01820278379398675	0.0531421563494881	0.052251480578138644		0.052251480578138644	32	terminal	True	
draw820	True	2	-0.07605547797849266	-0.07416633822168178	0.18659947415547273	0.13899226881296908	0.16573718138198812	0.16573718138198812	37	window	True	0.1433279096313822
draw824	True	2	-0.10065138944692685	-0.09136974793199362	0.09588852443767515	0.04771575483665424	0.06672767450891375	0.06672767450891375	38	window	True	0.1982710630260738
draw834	True	1	0.07541791714831175	0.0716868461307118	0.05233602753441837	0.05210413518501674		0.05210413518501674	179	terminal	True	
draw861	True	1	0.0010565087093901276	0.00011634834900957347	0.1484107639572541	0.14840229293191673		0.14840229293191673	184	terminal	True	
draw878	True	1	-0.7024874077162985	0.11191266812283167	0.185648479882848	0.19153088953396338		0.19153088953396338	31	window	False	
draw1095	True	1	0.29301652111475746	0.28204880555772693	0.2738404744691383	0.24368270786272914		0.24368270786272914	181	terminal	True	
draw1157	True	1	0.45972078028742613	0.28770832372423016	1.0623134705620938	1.0583646171781043		1.0583646171781043	197	terminal	True	
draw1161	True	1	0.4473647510536887	0.440947298159455	0.2056397261770275	0.1822455361869209		0.1822455361869209	39	terminal	True	
draw1228	True	1	0.004566274374753099	0.026610059601466174	1.0762197725244853	1.019723226309685		1.019723226309685	192	terminal	True	
draw1239	True	1	0.11284915671847495	0.1151656350259509	1.0611551837158308	0.8697591082989452		0.8697591082989452	195	terminal	True	
draw1240	True	2	-0.6090460244905457	-0.6021305789285565	0.1398955798495004	0.13144865418556648	0.13626645738424814	0.13626645738424814	188	window	True	0.03443856627825306
draw1265	True	1	1.2309150689364396	1.2110888731609557	1.8036258866823485	1.7577095962170373		1.7577095962170373	187	terminal	True	
draw1341	True	1	0.001457625280978203	0.004767437431007021	0.33427839026414435	0.3326098964970947		0.3326098964970947	168	terminal	True	
draw1357	True	2	-0.0951447652482649	-0.024464069147809187	0.06413045242282528	0.0658438902542727	0.0672616892916189	0.0672616892916189	25	window	True	0.02210804670452583
draw1372	True	1	0.09498429500343802	0.08620626061079331	0.11610809793771482	0.11469119036584478		0.11469119036584478	80	terminal	True	
draw1379	True	2	-0.23767643392071303	-0.22091713729532764	0.14866659006940636	0.09705624678207955	0.11951904956793255	0.11951904956793255	183	window	True	0.15109516385198607
draw1394	True	2	-0.01414306730279452	-0.0032075758917316233	0.3391186302837249	0.21910954139195682	0.33891571817075145	0.33891571817075145	193	window	True	0.3532869210947164
draw1418	True	1	0.0033043167015803926	0.0018340911123442445	0.05146953304206825	0.05144453783943435		0.05144453783943435	177	terminal	True	
draw1432	True	1	0.012393470458963829	0.012042201486912374	0.13617311155806938	0.13526517965014112		0.13526517965014112	207	terminal	True	
draw1438	True	1	2.960097761636998	2.9435016413936337	0.967159424853468	0.8223265081121727		0.8223265081121727	180	terminal	True	
draw1453	True	2	-0.7975914881501436	-0.7901649351322388	0.12721057969110572	0.04941426349635407	0.06570110238498648	0.06570110238498648	181	window	True	0.12803053746143062
draw1505	True	2	-0.007363047657482774	-0.006254732727782958	0.01372304506682342	0.011901611725313494	0.013691726371908288	0.013691726371908288	167	window	True	0.1304458768354949
draw1532	True	2	-0.029937577529537573	-0.027373270715391695	0.06492587971503347	0.047601519779167954	0.06382327537456178	0.06382327537456178	169	window	True	0.24985037810181124
draw1552	True	2	-1.8261084825161222	-1.8194964816618122	0.33425675570301183	0.09167634392355571	0.22158778436052265	0.22158778436052265	65	window	True	0.38865763584564217
draw1570	True	1	0.5516773298312903	0.531259602733024	0.23677068431275863	0.2290583351139898		0.2290583351139898	182	terminal	True	
draw1571	True	2	-0.014415382967430846	-0.013296536084393282	0.01737230688447198	0.014422641930502491	0.01647059641202555	0.01647059641202555	42	window	True	0.11788615611859801
draw1691	True	2	-0.8482567455832155	-0.8305456724609186	0.22827540132220248	0.11063431321116042	0.21617036115309413	0.21617036115309413	185	window	True	0.46231896792494687
draw1743	True	1	0.5636508676907228	0.5747040099498211	1.3127041755719202	0.807336024300613		0.807336024300613	193	terminal	True	
draw1762	True	2	-0.2663914046137466	-0.2612626884165252	0.03245740971439752	0.022539916812202403	0.024948633390607107	0.024948633390607107	165	window	True	0.07421160836923599
draw1790	True	1	-0.06772000623186225	-0.06407567200831893	0.03399419612477345	0.027783743883390905		0.027783743883390905	50	window	False	
draw1812	True	2	-0.7079156325693705	-0.5767004105399383	1.7576100873284286	1.3443622809118978	1.747244981310404	1.747244981310404	223	window	True	0.2292218867558327
