tr_max	tr_at_low_j	det_at_low_j	j_lo	j_hi	j_crit	n_points	n_cross	u_at_trmax	a_at_trmax	det_at_trmax	j_at_trmax	G_absmax	j_at_first_cross	det_at_first_cross	at_u_edge	at_a_edge	fold_is_j_max	lowj_at_edge	frac_of_path	n_proj_fail	path_count	name	traced
-0.35119205422789584	-0.9420920339725309	0.1946808418096369	0.0015582088097157033	0.23485903819571008	0.2349982694294005	211	0	0.5004311356744842	0.3446317854067291	0.0027850478283327506	0.23485903819571008	2.0816681711721685e-17			0	1	1	1	0.8210116731517509	0	1	nu=0.01,chi=0.1	True
-0.3472361609833924	-0.9079842193648137	0.1790394849117784	0.0015142811114484081	0.2262052655721219	0.22631564830604398	211	0	0.4983814848687622	0.3316545077756055	0.002375432362077702	0.2262052655721219	3.469446951953614e-17			0	1	1	1	0.82421875	0	1	nu=0.01,chi=0.167	True
-0.34336651203761803	-0.8756558238166927	0.164751681248903	0.0014715215244220927	0.21767296459945376	0.21775902883544973	211	0	0.49605902587929496	0.3177289063139856	0.002010120155965827	0.21767296459945376	2.7755575615628914e-17			0	1	1	1	0.8274509803921568	0	1	nu=0.01,chi=0.233	True
-0.3395904035247367	-0.8449716524594423	0.15167442184162525	0.0014298360251023838	0.20928050053493175	0.2093455102407629	211	0	0.4933529015704237	0.3030791102896745	0.0016757652697573593	0.20928050053493175	2.0816681711721685e-17			0	1	1	1	0.8307086614173228	0	1	nu=0.01,chi=0.3	True
-0.3358921639765516	-0.8158098459972245	0.13968269126858587	0.0013891376255460788	0.20104656777253693	0.2010924720605201	211	0	0.4901438125542707	0.2880618097522945	0.0013519178860225654	0.20104656777253693	2.0816681711721685e-17			0	1	1	1	0.8373015873015873	0	1	nu=0.01,chi=0.367	True
-0.33225261302065806	-0.7880602783583976	0.1286668466524156	0.0013493460366509422	0.19298768439297784	0.19301659304506433	211	0	0.4863384778317702	0.2729573742846162	0.001030636130458074	0.19298768439297784	2.42861286636753e-17			0	1	1	1	0.8406374501992032	0	1	nu=0.01,chi=0.433	True
-0.3287860693223222	-0.7616231791516834	0.11853042858638799	0.0013103877075328048	0.18511441834063322	0.18513258973879276	211	0	0.48189072641778097	0.2571874446131563	0.0007895074254623067	0.18511441834063322	1.734723475976807e-17			0	1	1	1	0.844	0	1	nu=0.01,chi=0.5	True
-0.32528628893282857	-0.7364079549137583	0.1091883274137016	0.0012721893483345435	0.1774446793123736	0.17745297285125572	211	0	0.4766763342923699	0.24216948627808496	0.0005141659192803535	0.1774446793123736	1.0408340855860843e-17			0	1	1	1	0.8508064516129032	0	1	nu=0.01,chi=0.567	True
-0.3218336534837872	-0.7123323540200899	0.10056528340783673	0.0012345419315970111	0.16998343327928145	0.1699858614035403	212	0	0.47068293310454334	0.2274612011473651	0.0002690383466989174	0.16998343327928145	2.0816681711721685e-17			0	1	1	1	0.8548387096774194	0	1	nu=0.01,chi=0.633	True
-0.31846548658162227	-0.6893210430802927	0.0925944445285646	0.0011974668583607517	0.16273507229908446	0.16273521384816916	211	0	0.46386505701080255	0.21300093056169506	7.984359227966504e-05	0.16273507229908446	1.0408340855860843e-17			0	1	1	1	0.8577235772357723	0	1	nu=0.01,chi=0.7	True
-0.3199764201578945	-0.6673052103126396	0.0852163594173914	0.001160959092232406	0.15557855186980468	0.15570073257199177	210	0	0.4534514852240042	0.1817400903097251	0.001801326479288751	0.15557855186980468	1.0408340855860843e-17			0	1	1	1	0.8571428571428571	0	1	nu=0.01,chi=0.767	True
-0.31651898909273973	-0.6462219164232723	0.07837803526418718	0.0011249605107188111	0.14878242019187066	0.1488775565623132	210	0	0.44456351520515425	0.17036214021014698	0.001538818589406358	0.14878242019187066	6.938893903907228e-18			0	1	1	1	0.860655737704918	0	1	nu=0.01,chi=0.833	True
-0.31288765760556664	-0.626013421591298	0.07203210968144291	0.001089412325065223	0.1421890141072766	0.14225745185744396	210	0	0.4351304532132072	0.16010781558066123	0.0012609926369981314	0.1421890141072766	8.239936510889834e-18			0	1	1	1	0.8677685950413223	0	1	nu=0.01,chi=0.9	True
-0.35121624928999967	-0.9421550585383593	0.19471620306429588	0.001557776186700156	0.23483507447119695	0.2349745828006533	211	0	0.5003483091646495	0.344654109616848	0.0027879966298718353	0.23483507447119695	6.938893903907228e-17			0	1	1	1	0.8210116731517509	0	1	nu=0.01373,chi=0.1	True
-0.3472832492896038	-0.9080651683255844	0.1790854898503301	0.0015135586232246177	0.22616302639379987	0.2262747222964304	211	0	0.4982553321083204	0.3316001631240451	0.002390088057887645	0.22616302639379987	2.0816681711721685e-17			0	1	1	1	0.82421875	0	1	nu=0.01373,chi=0.167	True
