tr_max	tr_at_low_j	det_at_low_j	j_lo	j_hi	j_crit	n_points	n_cross	u_at_trmax	a_at_trmax	det_at_trmax	j_at_trmax	G_absmax	j_at_first_cross	det_at_first_cross	at_u_edge	at_a_edge	fold_is_j_max	lowj_at_edge	frac_of_path	n_proj_fail	path_count	name	traced
-0.38923831061037806	-1.508000013439515	0.0761332675978538	0.0015231546342581697	0.23891718323688765	0.23898191170949076	212.0	0.0	1.1165177813567637	0.3591947459605542	0.0627453643065003	0.10475176518669792	2.220446049250313e-16			0.0	1.0	1.0	1.0	0.7653429602888087	0.0	1.0	draw2	True
-0.42755070950119023	-0.42755070950119023	0.0356761670147389	1.1875494864324576e-05	0.05568100653399595	0.05573337392414028	260.0	0.0	0.00010287822880556113	9.995902406085365e-07	0.0356761670147389	1.1875494864324576e-05	8.391724815037804e-17			0.0	1.0	1.0	1.0	0.8996539792387543	0.0	1.0	draw5	True
-0.24078347829992594	-0.7881403844831187	0.04951313141330737	0.0022677943784246723	0.09257258602860036	0.09259858860660508	195.0	0.0	0.19694839334878328	0.027889405443378104	0.000445665416292509	0.09257258602860036	7.589415207398531e-19			0.0	1.0	1.0	1.0	0.8666666666666667	0.0	1.0	draw7	True
-0.11581812687042238	-1.8145974264570446	0.057277100521097746	0.005576695372763674	0.07614769258653924	0.07614783746717586	197.0	0.0	0.17843744750674478	0.03186758345309003	1.985298487924825e-05	0.07614769258653924	3.049318610115481e-19			0.0	1.0	1.0	1.0	0.8678414096916299	0.0	1.0	draw10	True
-0.0984982250269767	-1.7782638305578045	0.4232606898202543	0.006878651392785612	0.03785306143379889	0.037855417508982726	161.0	0.0	0.11601174844711488	0.013629729308075749	0.002695048532201736	0.037830791537536206	8.673617379884035e-18			0.0	1.0	1.0	1.0	0.805	0.0	1.0	draw11	True
-0.3975273876035195	-1.8735527584155311	0.5980932858689155	0.0367415704180704	0.2042937053080388	0.2042986538462546	166.0	0.0	0.27357530314303563	0.013183052161719694	0.0006403023946221754	0.2042937053080388	2.6190258729102966e-18			0.0	1.0	1.0	1.0	0.8645833333333334	0.0	1.0	draw13	True
-1.8188813150512404	-1.8188813150512404	0.4554208565299525	0.15386896069979092	0.2650160794578159	0.2650229883529441	48.0	0.0	0.0912897089218377	0.40285468687956744	0.4554208565299525	0.15386896069979092	1.6653345369377348e-16			0.0	0.0	1.0	1.0	0.2962962962962963	0.0	1.0	draw14	True
-0.02626035934049715	-0.07490958042046483	0.0013705448002916498	0.011636702643408053	0.02341248530890844	0.023414220421822264	143.0	0.0	0.5467396822172769	0.00013597161378719726	0.00011733962221770429	0.018947932565469516	5.285485590866834e-19			0.0	1.0	1.0	1.0	0.8614457831325302	0.0	1.0	draw17	True
-0.16712393350834914	-0.28041712070386504	0.018796244459687327	0.004539607839106931	0.06475029524446307	0.06475083315395744	175.0	0.0	0.6155752524010298	0.04409861659687759	0.0054682038572208295	0.052805099698472475	2.0816681711721685e-17			0.0	1.0	1.0	1.0	0.8883248730964467	0.0	1.0	draw19	True
-0.18045593849649275	-3.3218720206685783	0.5074478501961518	0.07780343462566029	0.5209451673408358	0.5209728495420378	170.0	0.0	0.4412932414561817	0.008787848090932403	0.0014382012065196485	0.5209451673408358	8.673617379884035e-19			0.0	1.0	1.0	1.0	0.845771144278607	0.0	1.0	draw21	True
-3.2195234823807786	-6.74804434821802	1.7949270511379933	0.0008564285651689328	0.2256992005481366	0.2257895540517043	211.0	0.0	0.9002539777121039	0.17624548535853976	0.021410505837987308	0.2256992005481366	3.5735303605122226e-16			0.0	1.0	1.0	1.0	0.9017094017094017	0.0	1.0	draw23	True
-0.025934041789576923	-0.025934041789576923	0.39171899541535193	0.2713169199770844	0.5821801166957996	0.582334907390931	47.0	0.0	0.6181691214144795	0.0835906271182348	0.39171899541535193	0.2713169199770844	1.6653345369377348e-16			0.0	0.0	1.0	1.0	0.22274881516587677	0.0	1.0	draw25	True
-0.05410357880562606	-1.2064359609519208	0.125409974393449	0.0092730229094066	0.25364702607133993	0.2537697030709441	183.0	0.0	0.36810783128725805	0.013530896318841822	0.057587925617796035	0.047293741159094654	1.1102230246251565e-16			0.0	1.0	1.0	1.0	0.7379032258064516	0.0	1.0	draw26	True
-0.0036941324891159866	-0.43501298321445475	0.007444718738970337	0.008713359686086306	0.026154694767306433	0.02615475464290324	150.0	0.0	1.0743613647277166	0.12475376300463067	0.0007541913223883524	0.022377191411811992	2.6020852139652106e-17			0.0	1.0	1.0	1.0	0.7425742574257426	0.0	1.0	draw28	True
-2.8392606988132894	-10.92757270781535	0.0013810913328926153	0.028273657557357862	0.15050198105753684	0.15050457187662686	141.0	0.0	9.791059580658986	0.01292167372758335	0.00024068126893762162	0.15050198105753684	2.5265722267174898e-17			0.0	0.0	1.0	0.0	0.7382198952879581	0.0	1.0	draw30	True
0.09661468224550063	-0.9104852861225495	0.012155252666845258	0.0007903185238526936	0.04443663784459928	0.044444397612491235	179.0	13.0	1.531345207918052	0.2714854132113165	0.0001688200890587548	0.04443663784459928	5.551115123125783e-17	0.040007291865441455	0.0064549867391943145	0.0	1.0	1.0	1.0	0.7816593886462883	0.0	1.0	draw34	True
-0.40044780741535035	-2.1439118960191994	0.026073813180217387	0.0026221970533309856	0.011591758666987435	0.011591999126656132	152.0	0.0	1.582765079419974	0.014276441587961968	1.5340283586109882e-05	0.011591758666987435	7.535205098774256e-18			0.0	1.0	1.0	1.0	0.8491620111731844	0.0	1.0	draw37	True
-0.0352769559953079	-0.21536904646187074	0.009973232635838037	0.007680908889673176	0.03911451507009766	0.03912421794740287	173.0	0.0	1.1426713136411597	0.0453894454961968	4.8807490415232765e-05	0.03911451507009766	3.0899761915836876e-18			0.0	1.0	1.0	1.0	0.8693467336683417	0.0	1.0	draw39	True
-0.27182553970308004	-4.828882163085178	0.34989081150971174	0.0029124812721730855	0.17068363273794532	0.17068388540087115	201.0	0.0	0.8427011052865063	0.16459514412189866	0.054683679738401936	0.07248383228599865	1.5265566588595902e-16			0.0	1.0	1.0	1.0	0.75	0.0	1.0	draw42	True
-0.03463041398674939	-0.08880883749600293	0.0012686620750876863	0.010572449815914126	0.014688253501294282	0.014688373168828532	121.0	0.0	0.9106935082236114	0.0001745252056372428	3.5277184256960984e-06	0.014688253501294282	1.5749518863009647e-21			0.0	1.0	1.0	1.0	0.7515527950310559	0.0	1.0	draw44	True
-10.116698664673946	-11.199924741855591	0.0029768421096977482	0.0024273499650629	0.02250391790241785	0.022504103379260634	198.0	0.0	0.002105684818128938	0.005420054348956282	2.0551085251249373e-06	0.02250391790241785	2.117582368135751e-22			0.0	1.0	1.0	1.0	0.88	0.0	1.0	draw45	True
-0.014402825383274403	-0.053351872312213305	4.823419680615078e-06	0.008779953187642754	0.015317392277729153	0.015318125174444138	70.0	0.0	1.5096118923578263	0.03978086828902911	0.0003504337693885203	0.009366020943742654	9.020562075079397e-17			0.0	0.0	1.0	0.0	0.3153153153153153	0.0	1.0	draw47	True
-7.249790123932535	-12.612313394276242	1.2218632656475552	0.014052600753843559	0.18181214413239913	0.18181395860892724	172.0	0.0	6.158713387979814	0.012169420711613699	0.0007351999621295215	0.18181214413239913	2.1711148504022226e-17			0.0	1.0	1.0	1.0	0.8514851485148515	0.0	1.0	draw48	True
-0.46836910461519177	-0.7806922337363302	0.1348145221382009	0.005092741612993002	0.147559626575644	0.1475716018037798	190.0	0.0	0.4299133570232182	0.3048599478290656	0.007191431756325838	0.14399303750842393	4.0766001685454967e-17			0.0	1.0	1.0	1.0	0.8962264150943396	0.0	1.0	draw49	True
-0.42690519660111753	-0.4344416025235808	0.001884386354706169	0.010451515295878478	0.014162195016770412	0.014162198100144355	125.0	0.0	0.03265817093393504	0.00022565686127949363	2.1071387966709013e-05	0.014140105805839211	4.235164736271502e-21			0.0	1.0	1.0	1.0	0.7961783439490446	0.0	1.0	draw50	True
