u	a	j	eps	mode	lambda	R_j	G_j	w_dot_Fj	margin	grad_G
0.21380564270069463	0.6507737232173775	0.05079126087197519	0.01	influx	1.0072879853387018	-0.00036146795005675405	0.00028112786957284103	1.0006446446754214	1.0006446446754214	0.1467471489984803
0.6704919108169164	3.0121797738479033	0.09572451706847467	0.01	influx	-0.28974466968222	-0.0018132917689243965	0.0038269999854935537	1.0007044389222537	1.0007044389222537	0.5056292102879094
0.6164520052665597	0.0003594660948693643	0.15885482572782378	0.01	influx	-0.9643121161570399	-0.0015827395119304205	3.885751713191708e-06	1.001578992434473	1.001578992434473	1.9520200827725798
0.48240089562173555	0.05409692855991777	0.08602380915813503	0.01	influx	34.69111580446899	-0.00027476970903149287	2.2462213970108683e-05	1.0010540089750932	1.0010540089750932	0.004694196752901438
0.38479020561189176	0.005725511150470064	0.38578851718609786	0.01	influx	80.74980546133304	-0.0037817291164263956	1.0643799506609962e-06	1.0038676775903792	1.0038676775903792	0.004062095894125101
0.03569247609203346	0.007222001082149161	0.016729010271294427	0.01	influx	100.19549763803086	-7.10017040202196e-05	2.4811846005675664e-06	1.0003196052298058	1.0003196052298058	0.004562683229682458
0.2688623120063625	0.0027978375990859506	1.5954414641245838	0.01	influx	2.6799560492118775	-0.015673645851449185	2.3634275888095217e-05	1.0157369846720843	1.0157369846720843	0.4399205028652388
0.2061438539732672	0.06494608548823559	0.46019773188211144	0.01	influx	0.7890825467524801	-0.004601883734438783	0.00010550470043030089	1.0046851356521487	1.0046851356521487	0.24706547282535268
0.934719066911355	0.0652331512124482	0.009655874554146236	0.01	influx	-0.0526913796177435	-0.00019000347365570372	0.002005818397736793	1.0000843141350164	1.0000843141350164	0.3333973136942784
0.3386755489698889	0.17790570096745423	0.18598732687834166	0.01	influx	40.42139472273429	0.0005152461357822965	7.157690346765057e-05	1.0023779921323146	1.0023779921323146	0.027599033368900478
0.14793829091798744	0.07427625029903899	0.03127306273751743	0.01	influx	8.04185001362742	-0.00029382391412824513	1.9404947278284157e-05	1.0004498755896627	1.0004498755896627	0.022821478327561196
0.796401771490872	0.12368777583442138	0.12238608091744968	0.01	influx	-0.13245337246422287	-0.0015522884989880273	0.0036746475429476175	1.0010655690393073	1.0010655690393073	0.8825505607058857
0.42600693970784753	0.3682729811245661	0.08994288311420527	0.01	influx	2.2386055805988563	-0.0003803062769954148	0.0003373316038165698	1.0011354586878114	1.0011354586878114	0.06880392209709726
