lambda_max	omega	complex_pair	slope	n_periods	estimator	period_measured	period_predicted	grew	ratio_max	ratio_end	escaped	horizon_short	t_end	t_last	eq_residual	j_eq	n_fit	name	tested	is_cross	group	tr_J_at_fold	j_crit	j_at_first_cross	tr_max
0.0948345279847453	0.0	False	0.0953467665432263	inf	late_half			True	9818.94211970421	9818.94211970421	True	False	263.6170657592283	90.59673881386657	5.307216226489582e-17	0.0444366378445992	2750	draw34	True	True	terminal	0.0970650448933348	0.0444443976124912	0.0400072918654414	0.0966146822455006
0.4906030052065069	0.3031213797895038	True		0.7580947618452306	none		10.36414078007762	True	9899.794653714189	9899.794653714189	True	False	165.82625248124194	15.714001672806774	3.8038638301801857e-17	0.3042580492727957	759	draw122	True	True	terminal	0.4933839986419491	0.3168357593157284	0.2653528191905006	0.9812060104130136
0.2018669097458066	0.6952002587116881	True	0.2019253921934705	4.731435326007925	peak	4.520870101537543	4.518975092747581	True	9868.452682196954	9868.452682196954	True	False	123.84397240479043	42.76247678235169	8.9875387848946e-17	0.2700452889019423	2763	draw273	True	True	window	-0.5102428654877755	0.4687575071778409	0.1988480438927258	0.4037338194916132
0.3786559202649363	0.0	False	0.3961385829976275	inf	late_half			True	9903.988304193792	9903.988304193792	True	False	66.02300046572125	19.82588412534848	1.9982135527282046e-16	1.7691783282731386	2403	draw294	True	True	terminal	0.4109993401387998	1.7691860070176193	1.7645855467004312	0.4021941106800941
0.8178750085281681	0.0	False	0.823668791072453	inf	late_half			True	9040.31955767898	9040.31955767898	True	False	30.567017868646595	9.327927318085552	2.3349748569064043e-16	0.1352065147648386	2442	draw426	True	True	terminal	0.5888375009219753	0.1402076834447081	0.1143449648317169	0.8813113552419496
0.4321282981269881	0.4036637122925319	True		1.1681460182522816	none		7.78269772070348	True	9804.158566042806	9804.158566042806	True	False	124.52316353125568	18.18265470740176	2.0920974374844008e-16	0.603837945565308	1169	draw517	True	True	terminal	0.4117840265927095	0.6289835083193567	0.5586208732056795	0.8642565962539761
1.306370781104337	0.0	False	1.3478860338953311	inf	late_half			True	9939.041490124448	9939.041490124448	True	False	19.13698649847811	7.040899020505197	4.3176650534391016e-17	0.7787771255968836	2944	draw549	True	True	terminal	1.5030877769011712	0.7790429844701616	0.7641781153990804	1.3560319384550952
1.835194795980358	0.0	False	1.8510277601361769	inf	late_half			True	9988.097813905855	9988.097813905855	True	False	13.622532090194294	5.856718072031276	2.169201313241021e-17	0.4982720493640512	3440	draw585	True	True	terminal	1.3365160455686214	0.5836601708123301	0.2713936283814878	1.91216791531098
0.1470468610019924	0.0	False	0.148742131229057	inf	late_half			True	9901.528220445916	9901.528220445916	True	False	170.01382980668498	56.132832168952994	0.0	0.0246053774998769	2642	draw592	True	True	terminal	0.1488445875963527	0.0246059238475078	0.0227415886698673	0.1479912105838229
0.1932581862176979	0.2764316123962419	True	0.1932746472174207	1.7642205275659455	peak	11.377596650047746	11.364809640825664	True	9892.536034198292	9892.536034198292	True	False	181.83695425321065	40.100060920448	6.995282907435486e-17	0.3711577256754126	1765	draw634	True	True	terminal	0.0861114995130721	0.3821007232098466	0.3471315632762287	0.3865163724353959
