	no_cross	cross	ratio	abs_log2
p_kappa_a	0.45201972796949996	0.03876854986755	0.08576738462655309	3.543427061667404
p_rho_A	0.23176826308249998	1.733151477025	7.4779499745746865	2.902642819995972
p_alpha_n	0.2346197254215	0.0426553648699	0.18180638815968525	2.459525202261935
p_kappa_dis	0.36402112865400005	0.1280202204145	0.3516834885048183	1.5076504926833272
p_kappa_ca	0.26238563161149997	0.7259885266295001	2.76687607538065	1.468258029044543
p_kappa_cu	0.313965017803	0.130819641778	0.416669483413862	1.263024652969455
