name	ok	n_candidates	n_polished	n_max	n_min	has_both	j_at_max	j_at_min	orient_agree	orient_n	group
draw1469	True	1	1	1	0	False	0.05271576140008347		1	1	d2R<0
draw1504	True	1	1	1	0	False	0.2706893449933883		1	1	d2R<0
draw1531	True	1	1	1	0	False	0.9120552035311968		1	1	d2R<0
draw1560	True	1	1	1	0	False	0.12907479520153095		1	1	d2R<0
draw1590	True	1	1	1	0	False	0.1321414661398931		1	1	d2R<0
draw1622	True	1	1	1	0	False	0.01097825984488023		1	1	d2R<0
draw1650	True	1	1	1	0	False	0.11442968437239756		1	1	d2R<0
draw1675	True	1	1	1	0	False	0.029270395249893798		1	1	d2R<0
draw1704	True	1	1	1	0	False	0.007445631712706773		1	1	d2R<0
draw1731	True	1	1	1	0	False	0.05056668065895229		1	1	d2R<0
draw1760	True	1	1	1	0	False	0.2057456410284236		1	1	d2R<0
draw1801	True	1	1	1	0	False	0.2103201085946969		1	1	d2R<0
draw1834	True	1	1	1	0	False	0.028559777687003584		1	1	d2R<0
draw1866	True	1	1	1	0	False	1.298378072391012		1	1	d2R<0
draw1900	True	1	1	1	0	False	0.06408749721844556		1	1	d2R<0
draw1929	True	3	3	2	1	True	0.4446649178612881	0.22015057831887114	3	3	d2R<0
draw1962	True	1	1	1	0	False	2.09790008108417		1	1	d2R<0
draw1987	True	1	1	1	0	False	0.03674298736210861		1	1	d2R<0
draw2023	True	1	1	1	0	False	0.3424556066323802		1	1	d2R<0
draw2058	True	1	1	1	0	False	0.0807948251579347		1	1	d2R<0
draw2090	True	1	1	1	0	False	0.18140924266677957		1	1	d2R<0
draw2127	True	1	1	1	0	False	0.17053729359149838		1	1	d2R<0
draw2155	True	1	1	1	0	False	0.6034661791792703		1	1	d2R<0
draw2187	True	1	1	1	0	False	0.6369185547708645		1	1	d2R<0
draw2215	True	1	1	1	0	False	0.05902260059239485		1	1	d2R<0
draw2236	True	1	1	1	0	False	0.08489462841928969		1	1	d2R<0
draw2268	True	1	1	1	0	False	0.02992949984717235		1	1	d2R<0
draw2301	True	1	1	1	0	False	0.059146975739745165		0	1	d2R<0
draw2336	True	1	1	1	0	False	0.29053419543387204		1	1	d2R<0
draw2379	True	1	1	1	0	False	0.1251319167779224		1	1	d2R<0
draw2413	True	1	1	1	0	False	0.07142041637015263		1	1	d2R<0
draw2449	True	1	1	1	0	False	0.14937980050414465		1	1	d2R<0
draw2482	True	1	1	1	0	False	1.0692482941817394		1	1	d2R<0
draw2513	True	1	1	1	0	False	0.48814515318996454		1	1	d2R<0
draw2551	True	1	1	1	0	False	0.03145300856781239		1	1	d2R<0
draw2592	True	1	1	1	0	False	0.005792851851865147		1	1	d2R<0
draw2628	True	1	1	1	0	False	0.3113391052378671		1	1	d2R<0
draw2654	True	1	1	1	0	False	0.0887217852704145		1	1	d2R<0
draw2691	True	1	1	1	0	False	0.08373204235649633		1	1	d2R<0
draw2724	True	1	1	1	0	False	0.04066889393509636		0	1	d2R<0
draw2751	True	1	1	1	0	False	0.056658622535866544		1	1	d2R<0
draw2778	True	1	1	1	0	False	0.0376843792715214		1	1	d2R<0
draw2813	True	1	1	1	0	False	0.3558845101704143		1	1	d2R<0
draw2847	True	1	1	1	0	False	0.0647662928206291		1	1	d2R<0
draw2881	True	1	1	1	0	False	0.7193970866949158		1	1	d2R<0
draw2918	True	1	1	1	0	False	0.1351893044102633		1	1	d2R<0
draw2946	True	1	1	1	0	False	0.5602054256085863		1	1	d2R<0
draw2975	True	1	1	1	0	False	0.05941362798199178		1	1	d2R<0
draw3018	True	1	1	1	0	False	0.1562541631798243		1	1	d2R<0
draw3060	True	1	1	1	0	False	0.010771890879424758		1	1	d2R<0
draw3095	True	1	1	1	0	False	0.7263860799928561		1	1	d2R<0
draw3125	True	1	1	1	0	False	0.03610738094410703		1	1	d2R<0
draw3151	True	1	1	1	0	False	0.03700736347230507		1	1	d2R<0
draw3187	True	1	1	1	0	False	0.041414426961112444		1	1	d2R<0
draw3220	True	1	1	1	0	False	0.61082766519372		1	1	d2R<0
draw3251	True	1	1	1	0	False	0.23105302566988464		1	1	d2R<0
draw3277	True	1	1	1	0	False	0.17117296454682482		1	1	d2R<0
draw3308	True	1	1	1	0	False	1.9080013907011262		1	1	d2R<0
draw3350	True	1	1	1	0	False	0.23034176506717136		1	1	d2R<0
draw3386	True	1	1	1	0	False	0.37061076455535874		1	1	d2R<0
draw3419	True	1	1	1	0	False	0.19536413859268428		1	1	d2R<0
draw3447	True	1	1	1	0	False	0.201531981085627		1	1	d2R<0
draw3472	True	1	1	1	0	False	0.2782600073168714		1	1	d2R<0
draw3505	True	1	1	1	0	False	2.6168612326476612		1	1	d2R<0
draw3542	True	1	1	1	0	False	0.11943170489291599		1	1	d2R<0
